OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__11-24; f__uncultured bacterium,0.8333333333333334,6.0,12.5,17.25,14.75,5.0,3.75
d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__Blastocatellales; f__Blastocatellaceae,82.0,52.75,82.0,59.75,63.75,11.0,0.0
d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__DS-100; f__uncultured bacterium,1.1666666666666667,0.0,9.0,7.5,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__Pyrinomonadales; f__Pyrinomonadaceae,18.333333333333332,30.5,87.75,140.0,70.0,12.0,12.5
d__Bacteria; p__Acidobacteria; c__Holophagae; o__Holophagales; f__Holophagaceae,0.0,0.0,21.75,0.75,2.5,0.0,0.5
d__Bacteria; p__Acidobacteria; c__Holophagae; o__Subgroup 7; f__uncultured bacterium,38.166666666666664,47.0,96.25,66.25,78.75,19.75,19.25
d__Bacteria; p__Acidobacteria; c__Subgroup 11; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 15; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,1.5,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 17; o__uncultured Acidobacteria bacterium; f__uncultured Acidobacteria bacterium,3.1666666666666665,0.0,0.0,4.0,6.75,0.0,3.5
d__Bacteria; p__Acidobacteria; c__Subgroup 17; o__uncultured bacterium; f__uncultured bacterium,13.5,8.25,25.75,14.25,7.25,6.25,9.0
d__Bacteria; p__Acidobacteria; c__Subgroup 18; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 21; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
