OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Planctomycetes; c__OM190; o__uncultured bacterium; f__uncultured bacterium,45.166666666666664,36.75,194.5,215.75,149.25,33.25,27.0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae,209.83333333333331,152.0,70.25,54.5,117.0,57.75,26.75
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae,203.33333333333331,138.25,93.0,50.25,77.25,51.75,52.25
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae,130.33333333333334,97.5,97.5,73.75,116.25,58.0,38.0
d__Bacteria; p__Chloroflexi; c__KD4-96; o__uncultured bacterium; f__uncultured bacterium,76.33333333333333,49.5,153.0,139.75,147.0,19.25,21.75
d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae,43.0,55.0,82.25,193.25,190.5,29.0,2.25
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae,212.33333333333334,78.25,118.0,29.75,45.0,57.5,32.25
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__TRA3-20,44.833333333333336,42.5,140.25,171.0,96.5,36.5,32.0
d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae,80.0,95.0,133.0,91.0,105.5,14.5,19.25
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae,64.33333333333333,63.0,151.5,146.75,71.5,6.75,19.25
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae,146.83333333333331,102.25,117.5,77.5,54.0,10.75,1.75
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__AKYH767,35.5,27.0,241.5,118.0,65.5,15.0,6.75
d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__67-14,52.5,39.5,130.5,117.5,87.25,36.25,43.75
d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae,56.333333333333336,38.75,117.0,93.5,92.0,43.5,61.75
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae,127.0,116.0,80.0,75.25,60.75,18.75,18.5
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae,92.33333333333333,74.5,120.5,98.25,65.0,22.25,14.5
d__Bacteria; p__Gemmatimonadetes; c__S0134 terrestrial group; o__uncultured bacterium; f__uncultured bacterium,73.66666666666666,73.75,145.75,110.5,57.5,14.0,12.0
d__Bacteria; p__Omnitrophicaeota; c__uncultured bacterium; o__uncultured bacterium; f__uncultured bacterium,16.833333333333332,33.5,227.5,109.25,73.75,5.25,12.25
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae,99.83333333333334,62.5,144.25,75.75,47.25,18.0,20.75
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae,27.833333333333332,63.75,49.75,13.0,259.25,8.5,33.5
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae,80.33333333333333,130.25,121.75,68.25,29.75,2.5,3.5
d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__uncultured bacterium; f__uncultured bacterium,38.5,55.25,103.5,101.5,102.75,20.25,3.5
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae,76.83333333333333,46.5,87.25,92.25,107.75,10.0,3.0
d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b,49.0,64.5,87.25,75.5,83.5,39.0,4.75
d__Bacteria; p__Chloroflexi; c__OLB14; o__uncultured bacterium; f__uncultured bacterium,43.66666666666666,35.5,89.25,93.25,72.5,28.75,27.75
d__Bacteria; p__Fibrobacteres; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae,103.0,79.75,65.5,23.25,42.0,22.25,47.5
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__uncultured Acidobacteria bacterium; f__uncultured Acidobacteria bacterium,28.166666666666668,31.25,112.0,100.0,82.75,13.0,9.0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae,39.666666666666664,32.75,60.25,46.0,115.25,37.5,44.75
d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__Pyrinomonadales; f__Pyrinomonadaceae,18.333333333333332,30.5,87.75,140.0,70.0,12.0,12.5
d__Bacteria; p__Acidobacteria; c__Holophagae; o__Subgroup 7; f__uncultured bacterium,38.166666666666664,47.0,96.25,66.25,78.75,19.75,19.25
d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__Blastocatellales; f__Blastocatellaceae,82.0,52.75,82.0,59.75,63.75,11.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__uncultured euryarchaeote; f__uncultured euryarchaeote,23.166666666666668,23.25,38.75,110.5,149.25,5.25,0.0
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae,32.333333333333336,24.5,114.75,82.25,82.75,3.75,8.25
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae,36.833333333333336,29.0,43.0,70.75,101.5,42.75,24.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae,72.33333333333333,51.75,78.75,69.5,37.75,14.75,22.0
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45,52.33333333333333,46.25,89.25,67.5,70.75,14.5,3.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__uncultured,45.166666666666664,29.75,75.25,74.25,68.5,20.0,30.0
d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__uncultured,18.333333333333332,18.75,112.0,86.75,62.5,14.25,26.5
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__R7C24; f__uncultured bacterium,52.166666666666664,77.75,90.0,49.25,34.25,5.5,22.75
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__KD3-93,106.0,68.25,88.75,47.75,12.25,1.0,0.0
d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__uncultured bacterium; f__uncultured bacterium,21.5,16.25,73.5,104.0,73.5,10.5,21.75
d__Bacteria; p__Latescibacteria; c__uncultured bacterium; o__uncultured bacterium; f__uncultured bacterium,23.0,23.75,70.5,72.5,81.25,28.5,15.75
d__Bacteria; p__Rokubacteria; c__NC10; o__Rokubacteriales; f__uncultured bacterium,19.333333333333332,26.0,61.5,118.25,62.5,8.5,19.0
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Sandaracinaceae,54.5,43.5,90.0,61.0,35.25,13.75,14.5
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__bacteriap25,28.333333333333336,21.25,73.25,78.0,53.25,23.75,25.25
d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae,47.833333333333336,6.0,92.75,48.0,53.25,20.5,31.5
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Nannocystaceae,88.0,45.0,81.75,34.25,26.25,4.0,8.5
d__Bacteria; p__Armatimonadetes; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae,50.5,55.75,51.75,53.25,50.5,11.75,5.5
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Solimonadaceae,15.833333333333332,16.5,69.25,90.75,43.5,27.5,13.5
d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae,59.666666666666664,34.25,81.0,22.0,53.5,6.5,8.75
