OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Acidobacteria; c__Holophagae; o__Holophagales; f__Holophagaceae,0.0,0.0,23.5,8.5,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Holophagae; o__Subgroup 7; f__uncultured bacterium,38.166666666666664,23.5,91.25,89.5,61.75,10.75,59.75
d__Bacteria; p__Acidobacteria; c__Subgroup 11; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,0.75,0.0,0.75,0.75
d__Bacteria; p__Acidobacteria; c__Subgroup 15; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.75,0.0,0.0,0.0,0.5
d__Bacteria; p__Acidobacteria; c__Subgroup 17; o__uncultured Acidobacteria bacterium; f__uncultured Acidobacteria bacterium,3.1666666666666665,0.0,3.0,7.25,0.0,0.0,3.75
d__Bacteria; p__Acidobacteria; c__Subgroup 17; o__uncultured bacterium; f__uncultured bacterium,13.5,18.25,16.75,18.5,5.5,0.0,18.75
d__Bacteria; p__Acidobacteria; c__Subgroup 18; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 21; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 22; o__uncultured bacterium; f__uncultured bacterium,5.166666666666666,8.25,17.0,31.0,3.75,0.0,7.75
d__Bacteria; p__Acidobacteria; c__Subgroup 25; o__uncultured bacterium; f__uncultured bacterium,0.3333333333333333,0.0,2.5,1.75,0.75,0.0,2.0
d__Bacteria; p__Acidobacteria; c__Subgroup 5; o__uncultured Acidobacteria bacterium; f__uncultured Acidobacteria bacterium,0.0,1.25,2.25,0.0,0.0,0.0,2.25
d__Bacteria; p__Acidobacteria; c__Subgroup 5; o__uncultured bacterium; f__uncultured bacterium,1.1666666666666667,0.0,0.0,17.0,4.25,0.0,4.0
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__Unknown Order; f__Unknown Family,5.0,6.25,5.5,0.25,2.5,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__uncultured Acidobacteria bacterium; f__uncultured Acidobacteria bacterium,28.166666666666668,59.5,85.5,82.5,58.0,11.5,16.75
