,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.139459599,0.665654291,0.297379674,0.35387517,0.629197664,0.705017583,0.530619407
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.356137776,1.75e-05,0.000399485,4.39e-05,2.96e-05,0.019432259,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0.487720131,0.054615908,0.000369894,0.022632572,0.024422775,0.112587463,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,2.16e-05,0.016390009,0.158018554,0.108952147,0.014167581,1.81e-05,0.120956893
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0.0,0.061719991,0.029857813,0.056581429,0.124751771,0.030870464,0.0
