SampleID,Unclassified|Other|Other,k__Bacteria|Other|Other,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Bacteroidetes|c__[Saprospirae],k__Bacteria|p__Chlorobi|c__OPB56,k__Bacteria|p__Chloroflexi|c__Anaerolineae,k__Bacteria|p__Chloroflexi|c__Ktedonobacteria,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__ML635J-21,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__GN02|c__3BR-5F,k__Bacteria|p__GN02|c__BD1-5,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__SR1|c__,k__Bacteria|p__Spirochaetes|c__Spirochaetes,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__[Thermi]|c__Deinococci
F160SQ2R.04,0,0,0,4.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946028597,0.000206629,2.07E-05,2.07E-05,0,0,0,0,0,2.07E-05,0.05366146,0,0,0,0,0,0
H160SR97.04,0,0,0,0.001797616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997538649,2.77E-05,0,0,0,0,0.000110623,5.53E-05,0,0,0.000470146,0,0,0,0,0,0
H160TBMG.04,0,0,0,0.003728223,0.000174216,0,0,0.010487805,0,0.000801394,0,0,0,0,0,0,0,0,0.000243902,0.906864111,0.068606272,0,0.001114983,0,0,0,0.001672474,0,0.00271777,0.003031359,0.000522648,0,3.48E-05,0,0,0
B160T6WR.04,0,3.37E-05,0,0.036029362,0.002155027,0,0,0.046400431,0,0.003030507,0,0,0,0,0,0,0,0,0,0.670550205,0.195838104,0.001683615,0.010135363,0,0,0,0.000370395,0,0.0308775,0.000538757,0,0,0.002357061,0,0,0
A160PXM0.04,0,0,0,0.000306534,0,0,0,0.001576458,0,0.000109476,0,0,0,0,0,0,0,0,0.001007182,0.87929147,0.117424242,0,2.19E-05,0,0,2.19E-05,0.000153267,0,0,8.76E-05,0,0,0,0,0,0
H160SHBG.04,0,0.000134476,0,0.029181375,0.001445621,0,0,0.050260548,0,0.001445621,0,0,0,0,0,0,0,0,0.000134476,0.542847537,0.087913935,0.000302572,0.261556564,0,0,0,0.004336863,0,0.019499075,0.000336191,0,0,0.000605144,0,0,0
C160SRH8.04,0,0.000206462,0,0.016233096,0.004284092,0,0,0.053241458,0,0.001032311,0,0,0,0,0,0,0,0,0.000722618,0.743006091,0.12622587,0.000387117,0.036827707,0,0,0,0.01071023,0,0.00477444,0.000722618,0.001006504,0,0.000619387,0,0,0
A160SY61.04,0,7.38E-05,0,0.0220048,0.000110762,0,0,0.038471479,0,0.001439911,0,0,0,0,0,0,0,0,0.000221525,0.766438988,0.107181097,0.000147683,0.030607347,0,0,3.69E-05,0.024515414,0,0.005353517,0.002436773,0,0,0.000959941,0,0,0
A160SJLK.04,0,0,0,0.006461734,0.000821723,0,0,0.152280282,0,0.001718149,0,0,0,0,0,0,0,0,0,0.605535427,0.099876741,0.001195234,0.083255519,0,0,0,0.015015127,0,0.017181489,0.016098308,0,0,0.000522915,3.74E-05,0,0
B160T6XN.04,0,0,0,0.005351772,9.47E-05,0,0,0.010466741,0,0.001041938,0,0,0,0,0,0,0,0,4.74E-05,0.861895854,0.114992067,2.37E-05,0.002415402,0,0,0,0,0,0.003291577,0.000378887,0,0,0,0,0,0
A160SHHV.04,0,0.00034389,0,0.016975646,0.004720668,0,0,0.013255385,0,0.000125051,0,0,0,0,0,0,0,0,0.000656517,0.81605027,0.143370744,0.001062932,0.000281364,0,0,0,0,0,0.002876168,0,0,0,0.000281364,0,0,0
J160SYQB.04,0,2.48E-05,0,0.005804003,0.000496069,0,0,0.021628593,0,2.48E-05,0,0,0,0,0,0,0,0,0.000372051,0.861671255,0.073368554,0.00079371,0.028796785,0,0,2.48E-05,0,0,0.006895354,2.48E-05,0,0,7.44E-05,0,0,0
A160T77P.04,0,0.000101327,0,0.005497011,0.00040531,0,0,0.012285946,0,0.000303982,0,0,0,0,0,0,0,0,0.00040531,0.864271963,0.111814774,0.000658628,0.000354646,0,0,7.60E-05,0.000126659,0,0.003217145,0.000379978,7.60E-05,0,2.53E-05,0,0,0
D160SBS7.04,0,7.13E-05,0,0.010345566,0.01422218,0,0,0.05688872,0,0.000499441,7.13E-05,0,0,0,0,0,0,0,0.000832402,0.760767712,0.14517088,0.000428092,0,0,0,0.000237829,0.000237829,0,0.000665921,0.009536947,0,0,2.38E-05,0,0,0
K160SPLB.04,0,0,0,0.016320572,0.000435796,0,0,0.089207504,0,0.003682479,0,0,0,0,0,0,0,0,0,0.668664066,0.100516419,0.000348637,0.076656571,0,0,0,0.034035692,0,0.003900377,0.005055237,0,0,0.00117665,0,0,0
K160SRSC.04,0,0,0,0.024463975,0.006246121,0,0,0.001401373,0,0,0,0,0,0,0,0,0,0,8.01E-05,0.847310364,0.06308182,0,2.00E-05,0,0,0,2.00E-05,0,0.051070049,0.000580569,0,0,0.005725611,0,0,0
D160TBG8.04,0,0.000237425,0,0.01689109,0.00505376,0,0,0.08048706,0,3.39E-05,0,0,0,0,0,0,0,0,0.000576603,0.669674049,0.209103551,0.001390632,0.000339179,0,0,0,0,0,0.014381169,0.000101754,0,0,0.00172981,0,0,0
A160T8BV.04,0,0.000267086,0,0.019645666,0.002136689,0,0,0.020209514,0,8.90E-05,0,0,0,0,0,0,0,0,0.000771582,0.818559516,0.129358697,0,0,0,0,0,2.97E-05,0,0.006439742,0.000949639,0,0,0.001543164,0,0,0
J160SYJB.04,0,0,0,0.000746558,0.000179174,0,0,0.045390749,0,0.000119449,0,0,0,0,0,0,0,0,2.99E-05,0.826350524,0.123659928,0,0,0,0,0,0.003165407,0,0.000358348,0,0,0,0,0,0,0
D160SZZF.04,0,0,0,0.007477931,0.004687386,0,0,0.001240242,0,0,0,0,0,0,0,0,0,0,1.82E-05,0.918308164,0.066498869,0,0,0,0,0,0,0,0.001313198,0.000127672,0,0,0.000328299,0,0,0
H160TD72.04,0,3.06E-05,0,0.00523448,0.000244888,0,0,0.011111791,0,0.000459165,0,0,0,0,0,0,3.06E-05,0,0.001040774,0.831761969,0.144545121,0.000244888,0.000459165,0,0,0,0.000183666,0,0.004101873,0.000489776,3.06E-05,0,3.06E-05,0,0,0
C160SS0S.04,0,3.32E-05,0,0.021593967,0.000564765,0,0,0.118501046,0,0.000930202,0,0,0,0,0,0,0,0,6.64E-05,0.682170028,0.040762765,0.000199329,0.050363775,0,0,0,0.077970832,0,0.002391947,0.003953357,0,0,0.000498322,0,0,0
G160PX8K.04,0,0,0,0.00751329,0.016396929,0,0,0.039196692,0,7.09E-05,0,0,0,0,0,0,0,0,0,0.831518015,0.100980508,0,0,0,0,0,0.000519787,0,0.003638512,0.000165387,0,0,0,0,0,0
J160SJHV.04,0,0,0,0.002181091,0,0,0,0.00402896,0,0.000151465,0,0,0,0,0,0,3.03E-05,0,3.03E-05,0.960710066,0.032261973,0,0.000181758,0,0,0,3.03E-05,0,0.000272636,0.000121172,0,0,0,0,0,0
J160SPP1.04,0,2.50E-05,0,0.014133393,0.001198592,0,0,0.043249182,0,0.001423328,0,0,0,0,0,0,0,0,7.49E-05,0.799535546,0.127674982,0.002347242,0.004819337,0,0,0,0.000599296,0,0.004095188,0.000324619,2.50E-05,0,0.000474443,0,0,0
B160SK8Y.04,0,0,0,0.043686127,0.001052678,0,0,0.186630993,0,0.017456906,0,0,0,0,0,0,0,0,0,0.442343962,0.149041625,0.000789508,0.124040528,0,0,0,0.022632572,0,0.010395193,0.001052678,0,0,0.000877231,0,0,0
E160T7WS.04,0,0,0,0.005691883,0.000290402,0,0,0.021431683,0,0.000232322,0,0,0,0,0,0,0,0,0.000667925,0.861942791,0.097923624,0.000290402,0.00784086,0,0,0,5.81E-05,0,0.003455786,0,0,0,0.000174241,0,0,0
H160SLNL.04,0,0,0,0.01150091,0.005254013,0,0,0.150587457,0,0.0023581,0,0,0,0,0,0,0,0,0.000248221,0.558745656,0.225963925,0.002109879,0.021264273,0,0,0,0.000620553,0,0.019526725,0.001778918,4.14E-05,0,0,0,0,0
C160SQFS.04,0,2.37E-05,0,0.038929095,0.002412374,0,0,0.075800577,0,0.000212857,0,0,0,0,0,0,0,0,2.37E-05,0.659642401,0.125135992,0.002128565,0.094082588,0,0,0.000118254,0,0,0.001442694,4.73E-05,0,0,0,0,0,0
F160SH25.04,0,0,0,0.709174372,0,0,0,0.000748795,0,0,0,0,0,0,0,0,0,0,0,0.22512697,0.000195338,0,3.26E-05,0,0,0.000162782,0,0,0,0.064559187,0,0,0,0,0,0
F160SLF1.04,0,0,0,0.008481944,0.010072309,0,0,0.00144193,0,0,0,0,0,0,0,0,0,0,2.12E-05,0.883140016,0.041582731,0,0,0,0,0,0,0,0.049089251,0,0,0,0.006170614,0,0,0
D160T9MZ.04,0,4.91E-05,0,0.005896806,0.001474201,0,0,0.086535627,0,0.000687961,0,0,0,0,0,0,0,0,0.00039312,0.447321867,0.195233415,0.004619165,0.143488943,0,0,0,0.004127764,0,0.107321867,0.000687961,0,0,0.002162162,0,0,0
H160SJ0W.04,0,0,0,0.010729614,0.001155497,0,0,0.041036646,0,0.00039617,0,0,0,0,0,0,0,0,0.000198085,0.810399472,0.092142621,0.000165071,0.012578409,0,0,0,0.016408055,0,0.008682734,0.001551667,0,0,0.004555959,0,0,0
H160TDJL.04,0,0,0,0.00052473,0,0,0,0.000155476,0,0.00034982,0,0,0,0,0,0,1.94E-05,0,0,0.996151977,0.002429307,0,0.000252648,0,0,0,3.89E-05,0,5.83E-05,1.94E-05,0,0,0,0,0,0
J160TCLD.04,0,0,0,0.002698718,0,0,0,1.00E-04,0,0.001424323,0,0,0,0,0,0,0,0,0,0.968539944,0.011869362,0,0,0,0,0,0.0153677,0,0,0,0,0,0,0,0,0
J160SPM7.04,0,0,0,0.00304235,0.00026367,0,0,0.019978095,0,0.000446211,0,0,0,0,0,0,0,0,0.000101412,0.909479961,0.040098166,0.000141976,0.009715236,0,0,0.000121694,0.01488723,0,0.000689599,0.000547623,2.03E-05,0,0.000466494,0,0,0
D160SQ1B.04,0,0,0,0.084315319,0,0,0,0.000243803,0,0,0,0,0,0,0,0.000568874,0,0,0,0.889678992,0.000853312,0,0.001259651,0,0,0.000893946,0.000609508,0,8.13E-05,0.021495327,0,0,0,0,0,0
J160SKQ0.04,0,0,0,0.01206453,0,0,0,3.48E-05,0,0,0,0,0,0,0,0,0,0,0,0.987900702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G160TDKH.04,0,0,0,0.019518093,0.00293635,0,0,0.04525434,0,0.003972709,0,0,0,0,0,0,0,0,0,0.69116504,0.14137663,0.001554538,0.050436134,0,0,0,0.002504534,0,0.0319544,0.007686329,0,0,0.001640902,0,0,0
A160TB6R.04,0,0,0,0.009913432,4.65E-05,0,0,0.063064321,0,0.002513264,0,0,0,0,0,0,0,0,0,0.764730522,0.059015173,0.000186168,0.005491948,0,0,0,0.086102578,0,0.005212697,0.003723355,0,0,0,0,0,0
