SampleID,k__Bacteria|Other|Other,k__Bacteria|p__Acidobacteria|c__Acidobacteria-6,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,k__Bacteria|p__Acidobacteria|c__Solibacteres,k__Bacteria|p__Acidobacteria|c__Sva0725,k__Bacteria|p__Acidobacteria|c__[Chloracidobacteria],k__Bacteria|p__Actinobacteria|c__Acidimicrobiia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__MB-A2-108,k__Bacteria|p__Actinobacteria|c__Nitriliruptoria,k__Bacteria|p__Actinobacteria|c__OPB41,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Armatimonadetes|c__,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Bacteroidetes|c__VC2_1_Bac22,k__Bacteria|p__Bacteroidetes|c__[Rhodothermi],k__Bacteria|p__Bacteroidetes|c__[Saprospirae],k__Bacteria|p__Chlorobi|c__OPB56,k__Bacteria|p__Chloroflexi|c__Anaerolineae,k__Bacteria|p__Chloroflexi|c__C0119,k__Bacteria|p__Chloroflexi|c__Ktedonobacteria,k__Bacteria|p__Chloroflexi|c__S085,k__Bacteria|p__Chloroflexi|c__TK10,k__Bacteria|p__Chloroflexi|c__Thermomicrobia,k__Bacteria|p__Cyanobacteria|Other,k__Bacteria|p__Cyanobacteria|c__,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__ML635J-21,k__Bacteria|p__Cyanobacteria|c__Nostocophycideae,k__Bacteria|p__Cyanobacteria|c__Oscillatoriophycideae,k__Bacteria|p__Cyanobacteria|c__Synechococcophycideae,k__Bacteria|p__Elusimicrobia|c__Elusimicrobia,k__Bacteria|p__FBP|c__,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Gemmatimonadetes|c__Gemm-1,k__Bacteria|p__Gemmatimonadetes|c__Gemm-3,k__Bacteria|p__Gemmatimonadetes|c__Gemm-5,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes,k__Bacteria|p__Nitrospirae|c__Nitrospira,k__Bacteria|p__Planctomycetes|c__Phycisphaerae,k__Bacteria|p__Planctomycetes|c__Planctomycetia,k__Bacteria|p__Proteobacteria|Other,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Proteobacteria|c__TA18,k__Bacteria|p__SR1|c__,k__Bacteria|p__Spirochaetes|c__Spirochaetes,k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__TM7|c__,k__Bacteria|p__TM7|c__TM7-1,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Verrucomicrobia|c__Opitutae,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__WS3|c__PRR-12,k__Bacteria|p__[Thermi]|c__Deinococci
K160QLXN.04,0,0,0,0,0,0,0,0.25386416,0,0,0,0,0,0,0,0,1.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697532298,1.79E-05,0,0,0,0,0,0,0,0,0,0,0.000142952,0.000589675,0,0,0.047835177,0,0,0,0,0,0,0,0,0,0,0,0,0
C160RMHN.04,0,0,0,0,0,0,0,0.804683377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18362467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011691953,0,0,0,0,0,0,0,0,0,0,0,0,0
B160RXS3.04,0,0,0,0,0,0,0,0.045783949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39E-05,0,0,0,0,0,0,0,0.935760244,0.002810701,0,0,0,0,0,0,0,0,0,0,0,0.015103285,0,0,6.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00044023
E160RST4.04,0,0,0,0,0,0,0,0.270060397,0,0,0,0,0,0,0,0,0.008135092,0,0.027610009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660298287,0.002218661,0,0,0,0,0,0,0,0,0,0,0,0.008135092,0,0,0.001109331,0,0,0,0,0,0,0,0,0,0,0,0,0.022433132
E160SBP9.04,0,0,0,0,0,0,0,0.439650253,0,0,0,0,0,0,0,0.000117477,0.000855906,0,0,0,0,0,0.000604169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558033766,0,0,0,0,0,0,0,0,0,0,0,1.68E-05,0,0,0,0.000721646,0,0,0,0,0,0,0,0,0,0,0,0,0
A160T09Y.04,1.89E-05,0,0,0,0,0,0,0.675729405,1.89E-05,0,0,0,0,0,0,0,0.001798663,0,0.004089592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292140788,0.002518129,0,0,0,0,0,0,0,0,0,0,9.47E-05,0.021867959,0,0,0.00172293,0,0,0,0,0,0,0,0,0,0,0,0,0
E160S7KZ.04,0,0,0,0,0,0,0,0.040048797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92518339,3.21E-05,0,0,0,0,0,0,0,0,0,0,0,0.01266473,0,0,0.022022825,0,0,0,0,0,0,0,0,0,0,0,0,4.82E-05
E160S6B4.04,0,0,0,0,0,0,0,0.007016172,0,0,0,0,0,0,0,6.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E-05,0.864714407,0,0,0,0,0,0,0,0,0,0,0,0,0.000529088,0,0,0.127625313,0,0,0,0,0,0,0,0,0,0,0,0,2.30E-05
D160RZGG.04,0,0,0,0,0,0,0,0.005294531,0,0,0,0,0,0,0,0.000240661,0.002314043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129586,0,0,0,0,0,0,0,0,0,0,0.96751083,0.017771854,0.000666445,0,0,0,0,0,0,0,0,0,0,0.000610907,0,0,0.005461143,0,0,0,0,0,0,0,0,0,0,0,0,0
G160PY41.04,0,0,0,0,0,0.000852134,0,0.009454634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976383704,0,0,0,0,0,0,0,0,0,0,0,0,0.000953579,0,0,0,0,0,0,0,0,0,0,0.008115566,0,0,0,0,0.004240383
A160TRBB.04,0,0,0,0,0,0,0.00058306,0.006789412,1.30E-05,0,0,0,0,0,0,0,0.026730069,0,0.00342062,0,0,0,0.000531233,0,0,0,0,0,0,0,0,0,0,0.003278094,0,0,0,0,0,0,0,0.169605722,0.038546755,0.00154187,0.003938895,0,0,0,0,0,0,0,0,0.001179077,0.194107205,0,0,0.548724394,0,0,0,0,0,0,0.000855155,0,0,0,0,0,0.000155483
C160S01Z.04,0,0,0,0,0,0,0,0.001592357,0,0,0,0,0,0,0,0.00046834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982484076,0,0,0,0,0,0,0,0,0,0,0,0.008461346,0.00256026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004433621
F160SB0X.04,0,0,0,0,0,0.000165941,0,0.171472822,0,0,0,0,0,0,0,0,0,0,3.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828047791,1.84E-05,0,0,0,0,0,0,0,0,0,0,0,0.000129066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129066
J160SGHR.04,0,7.51E-05,0,0,0,0,0.000300576,0.44301838,0,0,0,0,0,0,0,7.51E-05,0.007694735,0,0.000510979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225432,0.502742752,0.03794767,0,0,0,0,0,0,0,0,0,0,0.000931784,0.00578608,0,0,0.000255489,0,0,0,0,0,0,0,0,0,0,0,0,0.000435835
D160SYJ3.04,0,0,0,0,0,0,0,0.127167376,0.00081208,0,0,0,0,0,0,0,0.013256661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105351,0,0,0,0,0,0,0,0.791317326,0.053750933,0.000219481,0,0,0,0,0,0,0,0,0,0.001668057,0.007879373,0,0,0.002611826,0,0,0,0,0,0,0,0,0,0,0,0,0.000263377
C160T2KS.04,2.57E-05,0,0,0,0,0,0,0.000925831,0.00041148,0,0,0,0,0,0,0,0.028417858,0,0.09980969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57E-05,0.669324144,0.094794774,0,7.72E-05,0,0,0,0,0,0,0,0,2.57E-05,0.091580084,0,0.013758873,0.000822961,0,0,0,0,0,0,0,0,0,0,0,0,0
F160SFWC.04,0,0,0,0,0,0,0,0.001461794,0,0,0,0,0,0,0,3.32E-05,0.002591362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000930233,0,0,0,0,0,0,0.000249169,0.974534884,0.005149502,0.000332226,0,0,0,0,0,0,0,0,0,0.000930233,0.001893688,0,0,0.011893688,0,0,0,0,0,0,0,0,0,0,0,0,0
J160SB7C.04,0,0,0,0,0,0,5.18E-05,0.048733751,0,0,0,0,0,0,0,0,0.002744834,0,0.004246724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80625615,0.020819307,0,0,0,0,0,0,0,0,0,0,0.006214719,0.106686001,0,0,0.003987778,0,0,0,0,0,0,0,0,0,0,0,0,0.000258947
B160SBKP.04,0,0,0,0,0,0,0,0.246978073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38E-05,0,0,0,0,0,0,0,0.752920492,0,0,0,0,0,0,0,0,0,0,0,3.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38E-05
E160S32H.04,0,0,0,0,0,0,0,0.219080538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035887,0.138221517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642093533,0,0,0,0,0,0,0,0,0,0,0,0,0.000245542
E160SYK0.04,0,0,0,0,0,0,0,0.625949454,0,0,0,0,0,0,0,0,0.002946186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000207154,0,0,0,0,0,0,0,0.360976845,0.006905124,0.00165723,0,0,0,0,0,0,0,0,0,0.000322239,0.001035769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A160QMJ6.04,0,0,0,0,0,0,0,0.049761909,0,0,0,0,0,0,0,0.000949093,0,0.001325457,0.000900002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001538185,0,0,0,0,0,0,0,0.89131253,0.026901867,0,0,0,0,0,0,0,0,0,0,0.00343637,0.007821832,0,0,0.001325457,0,0,0,0,0,0,0,0.009981836,0,0,0,0,0.004745463
D160RXF8.04,0,0,0,0,0,0,0,0.002801003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915008361,0.081661093,0,0,0,0,0,0,0,0,0,0,0.000376254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153289
H160S4D5.04,0,0,0,0,0,5.57E-05,0,0.632633747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354005456,0,0,0,0,0,0,0,0,0,0,0,0,0.00100206,0,0,0.011133998,0,0,0,0,0,0,0,0,0,0,0,0,0.00116907
B160T66Z.04,0,0,0,0,0,0,0,0.003792904,0,0,0,0,0.000204102,0,0,1.70E-05,0.096761574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743902439,0.095519951,0,0.000357179,0,0,0,0,0,0,0.001224615,0,0.002109059,0.002160084,0,0,0.053815015,0,0,0,0,0,0,0,0,0,0,0,0,0.000136068
F160SHKF.04,0,0,0,0,0,3.85E-05,0,0.013932723,0,0,0,0,0,0,0,0,0.001347086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0.95781695,0.01843584,0,0.004118236,0,0,0,0,0,0,0,0,0,0.001962897,0,0,0.002309291,0,0,0,0,0,0,0,0,0,0,0,0,0
F160S1H9.04,0,0,0,0,0,0,0,0.186946532,0,0,0,0,0,0,0,1.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808780972,0.000856983,0,0,0,0,0,0,0,0,0,0,0,0.00011178,0,0,0.003191952,0,0,0,0,0,0,0,0,0,0,0,0,9.94E-05
J160RXWD.04,0,0,0,0,0,0,0,0.365451968,0,0,0,0,0,0,0,0,0.001167445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582846898,0,0,0,0,0,0,0,0,0,0,0,0.003585724,0.005170113,0,0,0.015426951,0,0,0,0,0,0,0,0,0,0,0,0,0.026350901
D160SW4L.04,0,0,0,0,0,0.007340876,0,0.000518179,0,0,0,0,0,0,0,0.003799983,0.004663615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258053372,0,0,0,0,0,0,0,0,0,0,0,0,0.714828569,0,0,0.010795405,0,0,0,0,0,0,0,0,0,0,0,0,0
F160STTT.04,0,0,0,0,0,0,0,0.652148093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062033392,0,0,0,0,0,0,0,0,0,0,0,0,0.284885299,0,0,0.000933216,0,0,0,0,0,0,0,0,0,0,0,0,0
G160SWN7.04,0,0,0,0,0,0,0,0.970734221,1.12E-05,0,0,0,0,0,0,0,0.000134452,0,6.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025254619,0.000123248,0,0,0,0,0,0,0,0,0,0,0,0.003428533,0,0,0.000246496,0,0,0,0,0,0,0,0,0,0,0,0,0
E160SYCX.04,0,0,0,0,0,0,0,0.733545121,0,0,0,0,0,0,0,1.65E-05,1.65E-05,0,3.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033654323,0,0,1.65E-05,0,0,0,0,0,0,0,0,0,0.003888282,0,0,0.228829544,0,0,0,0,0,0,0,0,0,0,0,0,0
B160S1L0.04,0,0,0,0,0,0,0,0.005495273,0.007264937,0,0,0,0,0,0,2.33E-05,0.723420109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113188656,0.002724352,0,0,0,0,0,0,0,0,0,0,6.99E-05,0.051646253,0,0,0.095911144,0,0,0,0,0,0,0,0,0,0,0,0,0.000256136
J160SMCV.04,0,0,0,0,0,0,0,0.00178472,0,0,0,0,0,0,0,0,0.001458481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981231649,0.00247558,0,0,0,0,0,0,0,0,0,0,0.00178472,0.000287858,0,0,0.010727513,0,0,0,0,0,0,0,0,0,0,0,0,0.000249477
K160T6Z7.04,0,0,0,0,0,0,0,0.02527027,0,0,0,0,0,0,0,0.001756757,0.098108108,0,0.011081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802027027,0.011756757,0,0,0,0,0,0,0,0,0,0,0,0.04972973,0,0,0.00027027,0,0,0,0,0,0,0,0,0,0,0,0,0
D160SR33.04,0,0,0,0,0,0,0,0.41446102,0,0,0,0,0,0,0,0.003368624,0.015158807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478946102,0,0,0,0,0,0,0,0,0,0,0,0.058950914,0,0,0,0.00240616,0,0,0,0,0,0,0,0,0,0,0,0,0.026708373
A160SLTH.04,0,0,0,0,0,0,0,0.961595614,0,0,0,0,0,0,0,0.000144269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030440742,0.00083676,0.000245257,0,0,0,0,0,0,0,0,0,0,0.001702373,0,0.000548222,0.004328068,0,0,0,0,0,0,0,0,0,0,0,0,0.000158696
K160QGV7.04,0,0,0,0,0,0,0,0.0106147,0,0,0,0,0,0,0,0,4.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95828557,8.93E-05,0,0,0,0,0,0,0,0,0,0,7.44E-05,0.030682884,0,0,0.000163761,0,0,0,0,0,0,0,0,0,0,0,0,4.47E-05
F160SWYC.04,2.47E-05,0,0,0,0,0,0,0.929462323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067487466,0.001000272,0,0,0,0,0,0,0,0,0,0,1.23E-05,0.001975845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70E-05
J160SKFW.04,0,0,0,0,0,0,0,0.832969673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164247823,0.001721549,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,0,0,0,0,0,0,0,0.000700631,0,0,0,0,0.000340306
C160QM25.04,0,0,0,0,0,0,0,0.488548463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509467277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198426,0,0,0,0,0,0,0,0,0,0,0,0,0
F160QKDC.04,0,0,0,0,0,0,0,0.006042684,0,0,0,0,0,0,0,0.000128568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99366161,0,0,0,0,0,0,0,0,0,0,0,0.000154281,0,0,0,1.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
G160SS4S.04,0,0,0,0,0,0.000558899,0,0.028460877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000802522,0,0,0,0,0,0,0,0.360676412,0.001762683,0,0,0,0,0,0,0,0,0,0,0,0.579206076,0,0,0.028532531,0,0,0,0,0,0,0,0,0,0,0,0,0
D160SKRQ.04,0,0,0,0,0,0,0,0.021144075,0.003264492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001161012,0.800114735,0.001557122,0,0,0,0,0,0,0,0,0,0,0.00394744,0.018630826,0,0,0.148882697,0,0,0,0,0,0,0,0,0,0,0,0,0.001297601
H160SX2C.04,0,0,0,0,0,0,0,0.853741243,0,0,0,0,0,0,0,0,0.004844239,0,0.001291797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102188602,0.006583197,4.97E-05,0,0,0,0,0,0,0,0,0,0.001366324,0.00253391,0,9.94E-05,0.02702837,0,0,0,0,0,0,0,0,0,0,0,0,0.000273265
H160SVJK.04,0,0,0,0,0,0,0,0.173509294,0,0,0,0,0,0,0,0.000211394,3.02E-05,0,6.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812387697,0.000196295,0,0,0,0,0,0,0,0,0,0,0.00072478,7.55E-05,0,0,0.012683649,0,0,0,0,0,0,0,0,0,0,0,0,0.000120797
A160QSGW.04,0,0,0,0,0,0,0,0.190273424,0.001005851,0,0,0,0,0,0,0,0.012841361,0,0.001240549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623543612,0.022849575,3.35E-05,0.001810531,0,0,0,0,0,0,0,0,0.000586746,0.062178337,0,0,0.08253005,0,0,0,0,0,0,0.000838209,5.03E-05,0,0,0,0,0.000217934
G160SV8H.04,0,0,0,0,0,0,0,0.527711853,0,0,0,0,0,0,0,0,0.001256457,0.000139606,0.000164989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379564174,0.002665211,0,0,0,0,0,0,0,0,0,0,0.000291904,0.034114706,0,0,0.053824578,0,0,0,0,0,0,0,0,0,0,0,0,0.000266521
B160SGGV.04,0,0,0,0,0,0,0,0.495562839,0,0,0,0,0,0,0,0,5.18E-05,0,6.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488385651,0.000246149,0,3.89E-05,0,0,0,0,0,0,0,0,0.000246149,0.001204835,0,0,0.014198914,0,0,0,0,0,0,0,0,0,0,0,0,0
G160R1L4.04,0,0,0,0,0,0,0,0.09734124,0.000602783,0,0,0,0,0,0,0,0.080495911,0,0.006809814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001107817,0,0,0,0,0,0,0,0.516128507,0.037111857,0,0.000781988,0,0,0,0,0,0,0,0,0.000733114,0.051399433,0,0,0.191880356,0,0,0,0,0,0,0,0.015607181,0,0,0,0,0
D160RQG1.04,0,0,0,0,0,0,0,0.018028315,0,0,0,0,0,0,0,0,0.004559034,0,0.021704117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000467593,0,0,0,0,0,0,0,0.903039356,0.016002078,0,0.002935446,0,0,0,0,0,0,0,0,0.001285881,0.024509677,0,0.001078062,0.00589687,0,0,0,0,0,0,0,0,0,0,0,0,0.000493571
H160SP4R.04,0,0,0,0,0,0,0,0.218324708,0,0,0,0,0,0,0,0,6.77E-05,0,1.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776691585,0.000202956,0,1.13E-05,0,0,0,0,0,0,0,0,0,0.002424201,0,0,0.002266346,0,0,0,0,0,0,0,0,0,0,0,0,0
J160S91X.04,0,0,0,0,0,0,0,0.001195931,0,0,0,0,0,0,0,1.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782528655,0.000349373,0,0,0,0,0,0,0,0,0,0,0.00047031,0.000147812,0,0,0.214662922,0,0,0,0,0,0,0,1.34E-05,0,0,0,0,0.000618122
E160S09J.04,0,0,0,0,0,0,0,0.081669482,0,0,0,0,0,0,0,0,0.001443689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000332048,0,0,0,0,0,0,0,0.91112651,0.003031747,0,0,0,0,0,0,0,0,0,0,0.001010582,0.00083734,0,0,0.000548602,0,0,0,0,0,0,0,0,0,0,0,0,0
K160SYFS.04,0,0,0,0,0,0,0,0.069200133,0,0,0,0,0,0,0,0.000165948,0.076833721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015765018,0,0,0,0,0,0,0,0.138566213,0.611848656,0,0,0,0,0,0,0,0,0,0,0.022568868,0.015101228,0.025058082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024892134
A160SPRY.04,0,0,0,0,0,0,0,0.824781321,0,0,0,0,0,0,0,0.004993457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114746195,0.037364832,0,0,0,0,0,0,0,0,0,0,0,0.01542806,0,0.002686135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A160RXDC.04,0,0,0,0,0,0,0,0.298731862,0,0,0,0,0,0,0,0,0.009901232,0,0.000597488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677990489,0.002231435,1.22E-05,0.000877942,0,0,0,0,0,0,0,0,0,0.008950128,0,0.000109743,0.000548714,0,0,0,0,0,0,4.88E-05,0,0,0,0,0,0
D160QX5Q.04,0,0,0,0,0,0,0,0.000290766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683682556,0,0,0,0,0,0,0,0,0,0,0,9.09E-05,0.008359533,0,0,0.307576281,0,0,0,0,0,0,0,0,0,0,0,0,0
C160WTF6.04,0,0,0,0,0,0,0,0.022388551,0,0,0,0,0,0,0,0,0.064429566,0,0.000499862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725075966,0.049460018,0,0.006563976,0,0,0,0,0,0,0,0,0.006208811,0.020546954,0,0.00061825,0.102563765,0,0,0,0,0,0,0.001197038,1.32E-05,0,0,0,0,0.000434091
J160TKZT.04,0,0,0,0,0,0,0,0.527658896,0,0,0,0,0,0,0,0,0.008627755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001752868,0,0,0,0,0,0,0,0.412128938,0.013499363,0,0.013544892,0,0,0,0,0,0,0,0,0,0.015457112,0,0.006783828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000546349
E160QV3W.04,0,0,0,0,0,0,0,0.083846257,0,0,0,0,0,0,0,6.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000618853,0.048789055,0.001722754,0,0,0,0,0,0,0,0,0,0,0.00086974,0.000351241,0.000167258,0,0.86356794,0,0,0,0,0,0,0,0,0,0,0,0,0
H160W54T.04,0,0,0,0,0,0,0,0.57911095,0,0,0,0,0,0,0,0,0.024087459,0,0.000777015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000234911,0,0,0,0,0,0,0,0.179761475,0.005710155,7.23E-05,0.005366823,0,0,0,0,0,0,0,0,0,0.180845681,0,0,0.022949042,0,0.000885435,0,0,0,0,0.000198771,0,0,0,0,0,0
H160TBM7.04,0,0,0,0,0,0,0,0.013717451,0.000505611,0,0,0,0,0,0,0,0.00553974,0,0.001582783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869706196,0.005671639,0,0,0,0,0,0,0,0,0,0,0.001648732,0.018564724,0,0,0.082722386,0,0,0,0,0,0,0,0,0,0,0,0,0.000340738
J160QY99.04,0,0,0,0,0,0,0,0.006571622,1.83E-05,0,0,0,0,0,0,0,0.000657162,0,0.000109527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986400394,0.001843705,5.48E-05,0,0,0,0,0,0,0,0,0,3.65E-05,0.000127782,0,3.65E-05,0.004107263,0,0,0,0,0,0,3.65E-05,0,0,0,0,0,0
