SampleID,Unclassified|Other|Other|Other|Other,k__Bacteria|Other|Other|Other|Other,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__C111,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|Other,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermacoccaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Gordoniaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Kineosporiaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiopsaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Promicromonosporaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Sporichthyaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__,k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae,k__Bacteria|p__Bacteroidetes|Other|Other|Other,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|Other,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae],k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__[Weeksellaceae],k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae,k__Bacteria|p__Bacteroidetes|c__[Saprospirae]|o__[Saprospirales]|f__Chitinophagaceae,k__Bacteria|p__Chlorobi|c__OPB56|o__|f__,k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SHA-20|f__,k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Thermogemmatisporales|f__Thermogemmatisporaceae,k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__MLE1-12|f__,k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta|f__,k__Bacteria|p__Cyanobacteria|c__ML635J-21|o__|f__,k__Bacteria|p__Firmicutes|Other|Other|Other,k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|Other,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__[Exiguobacteraceae],k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|Other,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales|f__Turicibacteraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae],k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|Other,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae,k__Bacteria|p__GN02|c__3BR-5F|o__|f__,k__Bacteria|p__GN02|c__BD1-5|o__|f__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__BD7-3|f__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|Other,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Aurantimonadaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylocystaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__mitochondria,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|Other|Other,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|Other,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Haliangiaceae,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__HOC36|f__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae,k__Bacteria|p__SR1|c__|o__|f__,k__Bacteria|p__Spirochaetes|c__Spirochaetes|o__Spirochaetales|f__Spirochaetaceae,k__Bacteria|p__TM7|c__TM7-3|Other|Other,k__Bacteria|p__TM7|c__TM7-3|o__|f__,k__Bacteria|p__TM7|c__TM7-3|o__CW040|f__,k__Bacteria|p__TM7|c__TM7-3|o__CW040|f__F16,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae,k__Bacteria|p__WPS-2|c__|o__|f__,k__Bacteria|p__[Thermi]|c__Deinococci|o__Deinococcales|f__Deinococcaceae,k__Bacteria|p__[Thermi]|c__Deinococci|o__Thermales|f__Thermaceae
G160SRK8.04,0,0,0,0,0,0.002138289,0,0,0,0,0,0,0,0,0.001788387,0,0,0,0,0,0,0,0,1.94E-05,0,0,0,0,0,0.020294306,0.004373773,0.005229089,0,0,0.000894194,0.000291585,0,0,0,0,0,0,0,0,7.78E-05,0,7.78E-05,0,0,0.000116634,0,0,0.094084715,0,0,0,0.00674533,5.83E-05,0,0,0.798650934,0,1.94E-05,0,0,0.009019692,0.000349902,0.000291585,0,0.026359271,0,0,0.000622048,0,7.78E-05,0.003751725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018719748,0,0,0,0.001127461,0,0,0,0.00404331,0,7.78E-05,0,0.000349902,5.83E-05,0,0,5.83E-05,0.000233268,0,0,0,0,0
J160SVP4.04,0,0,0,0,0,8.19E-05,5.46E-05,0,0,0,0,0,0,0,0.000327627,0,0,0,0,2.73E-05,0,0,0,0.007999563,0,0,0,0,0,0,0.028257843,0,0,0,0.000300325,0,0,0,0,0,0,0,0,0,0.000491441,0,0,0,0,8.19E-05,0,0,0.00578808,0,0,0,0.009692303,0,0,0,0.815709722,0,2.73E-05,0,0,0.017910285,0,0,0,0.106506129,0,0,0,0,5.46E-05,0.002675622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004013433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C160SRG0.04,0,0,0,0,0,0.000689212,0,0,0,0,0,0,0,0,0.000321632,0.000551369,0,0,0,0,0,0,0,2.30E-05,0,0,0,4.59E-05,0,0.021227715,0.003239294,0.033197023,0,0.00018379,0.001424371,0,0,0,0,0,0,0,0,0,0.011280096,0,0,0,0,2.30E-05,0,0,0.089069105,0.000367579,0,0.000137842,0.035448447,0,0,0,0.652292777,0,0.000344606,0.000918949,0,0.000895975,0,2.30E-05,0,0.016564051,4.59E-05,0.000551369,0.000114869,0,0.000252711,0.101474913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027223856,0,0,0,0.00062029,0,0,0,0.001194633,0,0,0,0,0,0,0,0.000252711,0,0,0,0,0,0
J160SKKM.04,0,0,0,0,0,0.002002689,0,0,0,0,0,0,0,0,0.00180242,0,0,0,0,0.000257489,0,0,0,0.021886533,0,0,0,0,0,0,0.00557892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000686636,0,0,0,0,0.000114439,0,0,0.052928218,0,0,0,0.003175693,0,0,0,0.877835951,0,0,0,0,0,0,0,0,0.027951821,0,0,0,0,0,0,0,0,0.000371928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000371928,0,0,0,0,0.000114439,0,0,0,0,0,0.004920894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F160T884.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001579493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000904918,0,0,0,0,0,0,0,0,0,0.000658122,0,0,0,0,1.65E-05,0,0,0.006120535,0,0,0,1.65E-05,0,0,0,0.985077083,0,0,0,0,0,0,0,0,0.00561049,0,1.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E160T0GR.04,0,0,0,0,0,4.79E-05,1.60E-05,0,0,0,0,0,0,0,3.20E-05,0,0,0,0,4.79E-05,0,0,0,4.79E-05,0,0,0,0,0,1.60E-05,0.000143779,0,0,0,0.000479264,0,0,0,0,0,0,0,0,0,0.004089718,0,0,0,0,0.001262061,0,0,0.007492492,1.60E-05,0,0,0.005990798,0,0,0,0.971819286,0,0,0,0,6.39E-05,0,0,0,0.00760432,0,0,0,0,0,0.00052719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F160SGBR.04,0,0,0,0,0,7.72E-05,2.57E-05,0,0,0,0,0,0,0,0.000411872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022524262,0,0.00779983,0,0,0.000283162,0,0,0,0,0,0,0,0,0,0.012896749,0,0,0,0,0,0,0,0.095683064,0.001081165,0,0,0.068962854,0,0,0,0.712976549,0,0,0,0,5.15E-05,0,0,0,0.031353772,0,0,0,0,0,0.000926712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044404973,0,0,0,0,0,0,0,0.000540582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F160SBCG.04,0,0,0,0,0,4.91E-05,0,0,0,0,0,0,0,0,0.003586959,0,0,0,0,0,0,0,0,2.46E-05,0,0,0,0,0,7.37E-05,0.000319387,0.031029654,0,0,0.000466796,0,0,0,0,0,0,0,0,0,0.018819252,0,0,0,0,0,0,0,0.132766627,0.000368523,0,0,0.057735302,0,0,0,0.725401076,0,2.46E-05,0,0,9.83E-05,0,0,0,0.028572832,0,0,0,0,0,0.00041766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147409,0,0,0,0,0,0,0,0,0,0,0,0,9.83E-05,0,0,0,0,0
G160SL0Q.04,0,0,0,0,0,0.000771412,2.27E-05,0,0,0,0,0,0,0,0.004923426,0,0,0,0,9.08E-05,0,0,0,9.08E-05,0,0,0,0,0,0.000226886,0,0,0,0,0.001633579,0,0,0,0,0,0,0,0,0,0.002404991,0,6.81E-05,0,0,0.000136132,0,0,0.05554169,0,0,0,4.54E-05,0,0,0,0.918933636,0,0,0,0,0,0,0,0,0.014883721,0,9.08E-05,0,0,0,0,0,0,0,2.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27E-05,0,2.27E-05,0,0,0,0,0,2.27E-05,0,0,2.27E-05,0,0,2.27E-05,0,0,0,0,0,0,0,0,0,0
K160SP9B.04,0,0,0,0,0,0.014432217,0.00013388,0,0,0,0,0,0,0,0.000883605,0,0,0,0,0,0,0,0,0.000562294,0,0,0,0,0,0.005730045,0.009559001,0.007657911,0,8.03E-05,0.016493962,0,0,0,0,0,0,0,0,0,0.005783597,0,0,0,0,2.68E-05,0,0,0.11312823,5.36E-05,0,2.68E-05,0.037700485,0,0,0,0.66821967,0,0,0,0,0.003025678,0,5.36E-05,0,0.040137093,0.000508742,0,0.001526227,0,0,0.014726752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010656813,0,0,0,0.00747048,0,0.038825073,0,0.000562294,0,0.000696174,0,2.68E-05,0,0,0,0.000990709,0.000267759,5.36E-05,0,0,0,0
C160TGYC.04,0,0,0,0,0,0.001442858,0,0,0,0,0,0,0,0,0.002064779,0,0,0,0,0,0,0,0,7.46E-05,0,0,0,0,0,0.005895816,0.000149261,0.004527588,0,0,0.000298522,0,0,0,0,0,0,0,0,4.98E-05,0.003059854,0,0,0,0,0,0,0,0.024578337,4.98E-05,0,0,0.034578835,0,0,0,0.882158316,0,0,0,0,0.000547291,0,0,0,0.025225136,0,0,0,0,0,0.004651973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008358625,0,0,0,0.002263794,0,0,0,2.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J160SB14.04,0,0,0,0,0,1.52E-05,0.000106354,0,0,0,0,0,0,0,0.000288675,0.002354979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005530402,0,0,0,0,0.007961348,0,0,0.019705856,0,0,0,0,0.000440609,0,0,0.962806527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-05,0,0,0,0,0,0,0,0.000744477,0,0,1.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
G160NVWW.04,0,0,0,0,0,2.06E-05,0.00010304,0,0,0,0,0,0,0,6.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110994333,0,0,0,0,0.399629057,0,0.001030397,0.000226687,0,0,0,6.18E-05,0.036496651,0,0,0.451066461,0,0,0,0,4.12E-05,0,0,0,0.000247295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K160NXTL.04,0,1.70E-05,0,0,0,0.000697409,0.000612359,0,0,0,0,0,0,0,6.80E-05,0,0,0,8.50E-05,6.80E-05,0,0,0,5.10E-05,0,0,0,0,0,0.000680399,0.000612359,0.002194288,0,0,0.0005103,0,0,0,0,0,0,0,0,0,0.266223273,0,0,0,0,0.043494531,0,3.40E-05,0.000578339,0,0,0,0.001020599,0.020241882,0,0,0.657163755,0,5.10E-05,0,0,0.00047628,0,0,0,0.002075218,0,0,0,0,0,0.002109238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40E-05,0,0.000595349,0,0,0,0.00027216,0,0,0,3.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K160SMPB.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096640308,0,0,0,9.84E-05,0.165820843,0,3.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000314725,0,0,0,0,0,0,0,0.732837641,0,0,0,0.00424879,0,0,0,0,0,0,0,0,0,0,0,0
A160P055.04,0,0,0,0,0,0,0.00251708,0,0,0,0,0,0,0,0.004045307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416689141,0,0,0,0,0.063443905,0,0.000179791,0,0,0,2.25E-05,0,0.007259079,0,0,0.505596009,0,0,0,0,0,0,0,0,2.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179791,0,0,0,0,0,0,0,0,0,0,0,0,0
A160SNGK.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089607599,0,2.26E-05,0,0,0.702295601,0,0,9.05E-05,0,0,0,2.26E-05,0.02603189,0,0,0.001831957,0,0,0,0,0.000113084,0,0,0,4.52E-05,0,0,0,0,0,2.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26E-05,0,4.52E-05,0,0,0,0,0,0.179780617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
