SampleID,k__Bacteria|Other|Other,k__Bacteria|p__Actinobacteria|Other,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__Nostocophycideae,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Gemmatimonadetes|c__Gemm-1,k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria],k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__[Brachyspirae],k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Tenericutes|c__RF3,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__[Thermi]|c__Deinococci
E160VHFJ.03,0.000798836,0,0.103691763,0.000385153,0,0,0,0.029613991,0,0,0,0,0,0.000242504,0.180651051,0.679581182,5.71E-05,0.000114119,0,0,4.28E-05,0,0,0,0.004821546,0,0,0,0,0,0,0,0
D160SV8Y.03,7.16E-05,0,0.147979174,0.02263253,0,0,0,0.101050221,0,0,0,0,0,0,0.004132897,0.695614835,1.79E-05,0.000876675,0,0,0,0.021040202,0,0.005421072,0.001162936,0,0,0,0,0,0,0,0
C160T257.03,0.000241072,0,0.051041541,0,0,0,0,0.000241072,0,0,0,0,0,1.10E-05,0.005391249,0.876746403,0.001117698,0.001808041,0,0,0,0,0,3.29E-05,0.062634918,0,0,0,0,0,0.000734174,0,0
J160TMVD.03,0.000428435,0,0.427229451,0.005490321,0,0,0,0.024008251,0,0,0,0,0,6.35E-05,0.053935259,0.458441765,0,0,0,0,0,0,0,0,0.030403047,0,0,0,0,0,0,0,0
E160TD0W.03,0.00034653,0,0.310729446,0.008804037,0,0,0,0.14324699,0,0,0,0,0,5.41E-05,0.139814173,0.340368622,0,0,0,0,0,0,0,0,0.056636056,0,0,0,0,0,0,0,0
E160SGZP.03,0.000662018,0,0.241062759,0.008738635,0,0,0,0.119052873,0,0,0,0,0,4.41E-05,0.0346456,0.565605967,0,0,0,0,0,0.021559714,0,0.003552829,0.00507547,0,0,0,0,0,0,0,0
C160TC7M.03,9.22E-05,0,0.081930953,0.006082613,0,0,0,0.52964813,0,0,0,0,0,0,0.004515879,0.356680737,0,0,0,0,9.22E-05,0,0,0.010414171,0.010506331,0,1.84E-05,0,0,0,0,0,1.84E-05
D160THGY.03,0.000563853,0,0.260442118,0.037315483,0,0,0,0.056009369,0,0,0,0,0,4.34E-05,0.012173435,0.504387931,0.00013012,0.040048,0,0,0,0,0,0.035840791,0.052655168,0,0.00039036,0,0,0,0,0,0
G160SH1H.03,0.000341248,0,0.05194085,0,0,0,0,5.69E-05,0,0,0,0,0,0.000127968,0.034210152,0.871392009,0,0,0,0,0,0,0,0,0.041859804,0,7.11E-05,0,0,0,0,0,0
J160VWN1.03,0,0,0.20954866,0.0016922,0,0,0,0.079223396,0,0,0,0,0,2.58E-05,0.00386235,0.656935438,0.00063296,0.000129176,0,0,0,2.58E-05,0,0.002079727,0.045844421,0,0,0,0,0,0,0,0
F160TX1P.03,0.000273159,0,0.113324714,0.012182908,0,0,0,0.336222752,0,0,0,0,0,1.82E-05,0.007393513,0.500573635,0.000163896,0.000655582,0,0,0,0,1.82E-05,0.021688853,0.007484566,0,0,0,0,0,0,0,0
E160T6W2.03,0,0,0.096808107,0.022612113,0,0,0,0.381786219,0,0,0,0,0,0,0.001085795,0.257109372,0,0.009013822,0,0,0,0,0,0.04413843,0.001396022,0,0.186050119,0,0,0,0,0,0
J160VJ0W.03,0.000441569,0,0.050712454,0.020397072,0,0,0,0.42458518,0,0,0,0,0,3.40E-05,0.00298908,0.477675311,0,0.002598461,0,0,1.70E-05,0,3.40E-05,0.020142321,0.000305701,0,6.79E-05,0,0,0,0,0,0
E160T5P3.03,3.81E-05,0,0.554122191,0,0,0,0,0.133455106,0,0,0,0,0,0,0.052933006,0.163688947,0.002873071,0,0,0,0,0,0,0.001712427,0.091158171,0,1.90E-05,0,0,0,0,0,0
A160TPMZ.03,6.77E-05,0,0.020481051,0.029384384,0,0,0,0.272719579,0,0,0,0,0,5.08E-05,0.030196855,0.535926471,0.000118485,0.000541648,0,0,0,0.006821375,0,0.071125104,0.032346519,0,0,0,0,0,0.000220044,0,0
E160VSFV.03,6.98E-05,0,0.048810548,0.074901751,0,0,0,0.346882776,0,0,0,0,0,2.33E-05,0.01481292,0.444875939,0,0.015580308,0,0,0,0,0.000930168,0.043578355,0.005394972,0,0.004139246,0,0,0,0,0,0
D160TBNY.03,0,0,0.009338521,0.046198743,0,0,0,0.265130201,0,0,0.000374139,0,0,0,0.000209518,0.540706375,0.000284346,0,0,0,0,0.010655492,0.00866507,0.014980545,0.027865908,0,0.075276863,0,0,0.000314277,0,0,0
E160T6CL.03,0.000148001,0,0.01037749,0,0,0,0,0.173283187,0,0,0,0,0,0,0.231160329,0.183773854,0,0,0,0,0,0,0,0,0.401187491,0,0,0,6.96E-05,0,0,0,0
K160SVK0.03,0,0,0.826590422,0,0,0,0,0.001036455,0,0,0,0,0,0,0.053949249,0.039992852,0,0,0,0,0.000232309,0,0,0,0.078198713,0,0,0,0,0,0,0,0
G160SG6G.03,0,0,0.001236739,2.75E-05,0,0,0,0.001099324,0,0,0,4.12E-05,0,0,0.099639971,0.120856923,0,0,0,0,0,0,0,1.37E-05,0.777084593,0,0,0,0,0,0,0,0
C160TY1Q.03,0,0,0.036354189,0.001773812,0,0,0,0.520264459,0,0,0,0,0,1.79E-05,0.002669677,0.409786426,0.000304594,1.79E-05,0,0,0,0.008994481,0,0.018705655,0.001110872,0,0,0,0,0,0,0,0
J160T7PQ.03,1.62E-05,0,0.244785772,0.023654002,0,0,0,0.069911075,0,0,0,0,0,1.62E-05,0.007760711,0.58200485,0.001099434,0.00960388,0,0,0,0.022473727,0,0.033290218,0.005367825,0,0,0,0,0,1.62E-05,0,0
C160VSDK.03,6.01E-05,0,0.068778299,0.031273791,0,0,0,0.117682414,0,0,0,0,0,0,0.004768201,0.74804664,0,0.000761309,0,0,0,0.002063549,0.000380655,0.024522178,0.000981689,0,0.000681172,0,0,0,0,0,0
F160TGDS.03,0,0,0.07540526,0.009747719,0,0,0,0.163929147,0,0,0,0,0,0,0.000751476,0.634052603,0.000171766,0.035748792,0,0,0,0.017949544,0,0.023038111,0.039205582,0,0,0,0,0,0,0,0
H160WDHQ.03,0,0,0.053895589,0.000521638,0,0,0,0.330613863,0,0,0,0,0,0,0.018403372,0.542273505,6.26E-05,6.26E-05,0,0,0,0,0,0.009931978,0.044234862,0,0,0,0,0,0,0,0
B160T3TK.03,0,0,0.000133224,0.000835675,0,0,0,0.037193586,0,0,0,0,0,0.001816684,0.143941963,0.815097859,0,0,0,0,0,0,0,1.21E-05,0.000968898,0,0,0,0,0,0,0,0
B160SKGB.03,0,0,0.707960892,0.021767932,0,0,0,0.034027067,0,0,0,0,0,0,0.062704389,0.156685505,5.03E-05,5.03E-05,0,0,0,0,0.000838518,0.000150933,0.015512586,0,0.000251555,0,0,0,0,0,0
H160WZN8.03,4.56E-05,0,0.176416013,0.027757498,0,0,0,0.153540792,0,0,0,0,0,0,0.015650666,0.563271887,0.000258563,0,0,0,0,0.021308633,0.001992456,1.52E-05,0.039605767,0,0,0,0,0,0.000136886,0,0
A160TMJQ.03,0,0,0.0382824,7.51E-05,0,0,0,0.262402716,0,0,0,0,0,0,0.183929806,0.121277683,0.013507016,0,0,0,0,0,0,0,0.380525256,0,0,0,0,0,0,0,0
D160TYGN.03,4.91E-05,0,0.037520045,0.006888765,0,0,0,0.231010898,0,0,0,0,0,1.64E-05,0.078525379,0.596279085,0.001636286,0,0,0,0,0,0,0,0.048074091,0,0,0,0,0,0,0,0
E160S8KD.03,6.21E-05,0,0.462201952,7.76E-05,0,0,0,0.057088782,0,0,0,0,0,9.31E-05,0.0656521,0.402894774,0,0,0,0,0,3.10E-05,0,0.002389041,0.009509626,0,0,0,0,0,0,0,0
A160TP6B.03,3.76E-05,0,0.205530249,0.015209125,0,1.88E-05,0,0.105541543,0,0,0,0,0,5.65E-05,0.003482287,0.31882694,0.00035764,0,0,0,0,0.014889131,0.007830441,0,0.025919512,0,0.302017844,0,0,0,0.000282348,0,0
B160TY4Z.03,2.00E-05,0,0.07030109,0.025627688,0,2.00E-05,0,0.091427428,0,0,0,0,0,2.00E-05,0.001520456,0.770211063,0.000240072,0,0,0,0,0.014504351,0.003260978,0,0.005881765,0,0.016945084,0,0,0,2.00E-05,0,0
K160SMMP.03,0,0,0.036740541,0.004283588,0,0,0,0.151568776,0,0,0,0,0,0,0.007752591,0.780090447,0,0.004957726,0,0,0,0.005041993,0.000589871,0.007963259,0.001011208,0,0,0,0,0,0,0,0
F160T17J.03,0,0,0.095751696,0.030100089,0,0,0,0.22986855,0,0,0,0,0,0,0.002520553,0.408212313,5.86E-05,0.024399537,0,0,0,0,1.47E-05,0.060625156,0.003253272,0,0.145180908,0,0,1.47E-05,0,0,0
J160T7M4.03,1.77E-05,0,0.234880051,0.142165641,0,1.77E-05,0,0.172822213,0,0,0,0,0,0,0.035514814,0.37612369,0.001737619,0,0,0,0,0,0,0,0.003102892,0,0.033617617,0,0,0,0,0,0
F160SGH9.03,0,0,0.107724861,0.063989898,0,0,0,0.169684146,0,0,0,0,0,0,0.006194222,0.640547412,0,0.000221832,0,0,0.000204768,0.004624337,3.41E-05,0.006211286,0.000494855,6.83E-05,0,0,0,0,0,0,0
J160SPMG.03,0,0,0.003920729,0.013755498,0,0,0,0.188606823,0,0,0.000131789,0,0,0,0.000691893,0.764822167,0.000115316,0.002174522,0,0,0,0.007133091,0.002306311,0.011861028,0.004480833,0,0,0,0,0,0,0,0
F160ST1C.03,0,0,0.004308205,0.001264365,0,0,0,0,0,0,0,0,0,0,0.331516395,0.424273927,0.00282843,0,0,0,0,0,0,0,0.235808678,0,0,0,0,0,0,0,0
A160TQHD.03,0,0,0.083203172,0.002379315,0,0,0,0.220895885,0,0,0,0,0,0,0.006927528,0.665665844,0.000105208,1.62E-05,0,0,8.09E-06,0.011419091,0.003067212,0.000979242,0.003690365,0,0,0,0,0,0.00164286,0,0
H160TXBG.03,0,0,0.069187462,0.008049382,0,0,0,0.062270267,0,0,0,0,0,0,0.014284163,0.827597438,0.000108566,0,0,0,0,0,0,0.006482932,0.01201979,0,0,0,0,0,0,0,0
E160VRXR.03,0,0,0.181197262,0.006775142,0,0,0,0.199145205,0,0,0,0,0,0,0.001923975,0.588860182,0.000137427,0,0,0,0.000632163,0.011818707,0.002075145,0.003366957,0.003820466,0,0,2.75E-05,0,0,0.000219883,0,0
A160TZPB.03,0,0,0.065370441,0.005455242,0,0,0,0.15669621,0,0,0,0,0,0,0.002166246,0.737012429,0.000132088,0,0,0,0.000237759,0.028531047,0.001413344,0.00055477,0.002311543,0,0,0,0,0,0.000118879,0,0
H160W0QC.03,0,0,0.135883831,0.007279159,0,0,0,0.117360141,0,0,0,0,0,0,0.003053151,0.695932235,3.72E-05,3.72E-05,0,0,0.000297868,0.008284464,0.002271246,0.022395979,0.006850973,0,0,1.86E-05,0,0,0.000297868,0,0
B160TF38.03,0,0,0.173038541,0.021741237,0,0,0,0.01774953,0,0,0,0,0,0,0.007227702,0.773170306,3.88E-05,3.88E-05,0,0,0,1.94E-05,0,0,0.006975798,0,0,0,0,0,0,0,0
K160T24B.03,0.000258676,0,0.260864374,0.007223018,0,0,0,0.0932227,0,0,0,0,0,0,0.105937599,0.470431391,0.000198981,0.007561286,0,0,0,0.009769978,0,0.040413085,0.004118911,0,0,0,0,0,0,0,0
E160TPY7.03,0,0,0.07387462,0.006645264,0,0,0,0.041511323,0,0,0,0,0,0,0.063035073,0.776028721,8.63E-05,5.18E-05,0,0,0,0,0,0.001829605,0.03693731,0,0,0,0,0,0,0,0
K160SC2M.03,1.76E-05,0,0.315695225,0.000245787,0,0,1.76E-05,0.050140449,0,0,0,0,0,0,0.033005618,0.419557584,0,0,0,0,0,7.02E-05,0,0.000140449,0.181039326,0,7.02E-05,0,0,0,0,0,0
B160V5DV.03,0,0,0.188650631,0.005413698,0,0,0,0.030313183,0,0,0,0,0,0,0.012326303,0.755942724,0.000105805,0,0,0,0,0,0,0.000299781,0.006947873,0,0,0,0,0,0,0,0
J160T32X.03,1.27E-05,0,0.899721732,0.000355777,0,0,0,0.025310987,0,0,0,0,0,0,0.026314786,0.041384481,0,0,0,0,0,0,0,0,0.006899531,0,0,0,0,0,0,0,0
K160SCK2.03,8.49E-06,0,0.025943577,0,0,0,0,0.609733513,0,0,0,0,0,0,0.073727669,0.091380174,0,0,0,0,0,0,0,0,0.199206572,0,0,0,0,0,0,0,0
G160TX6H.03,1.39E-05,0,0.032071912,0,0,0,0,0.158916879,0,0,0,0,0,0,0.378967373,0.224406281,0.009127733,0,0,0,0,0,0,0,0.196495949,0,0,0,0,0,0,0,0
G160TCLM.03,2.05E-05,0,0.393266953,0,0,0,0,0.169525939,0,0,0,0,0,0,0.080097212,0.212707267,0.001281801,0,0,0,0,0,0,0.006378244,0.136722075,0,0,0,0,0,0,0,0
D160TFLQ.03,0,0,0.331188393,0.111030776,0,0,0,0.03692189,0,0,0,0,0,0,0.09893235,0.252982431,0,2.41E-05,0,0,0,0,0.001373726,0,0.001205023,0,0.166341311,0,0,0,0,0,0
B160SDP4.03,0,0,0.003617305,1.12E-05,0,0,0,0.000750339,0,0,0,0,0,0,0.070229469,0.232437033,3.36E-05,0,0,0,0,0,0,0,0.692921058,0,0,0,0,0,0,0,0
F160T0XH.03,0,0,0.003495104,0,0,0,0,0,0,0,0,0,0,0,0.034844321,1.33E-05,0,0,0,0,0,0,0,0,0.961647235,0,0,0,0,0,0,0,0
G160T5B1.03,1.49E-05,0,0.000104051,0.001531029,0,0,0,0.489721293,0,0,0,0,0,0,0.015994054,0.417688592,4.46E-05,0,0,0,0.000133779,1.49E-05,0,0,0.07475288,0,0,0,0,0,0,0,0
A160T6SC.03,0,0,0.174322435,0.030791517,0,0,0,0.019118365,0,0,0,0,0,0,0.057759361,0.593915812,3.37E-05,1.68E-05,0,0,0,0,0,0,0.124041976,0,0,0,0,0,0,0,0
B160SYZM.03,1.60E-05,0,0.114249511,4.81E-05,0,0,0,0.384643762,0,0,0,0,0,1.60E-05,0.173740096,0.221826581,0.001732268,0,0,0,0,0,0,0.027924807,0.075770699,0,0,0,0,0,0,0,3.21E-05
B160TC9F.03,6.81E-05,0,0.001247972,0.021374358,0,0,0,0.270231329,0,0,0,0,0,0.000124797,0.006398693,0.573488536,0.000102107,0,0,0,0,0,0,1.13E-05,0.126941447,0,1.13E-05,0,0,0,0,0,0
C160S8VB.03,0,0,0.000662771,1.74E-05,0,0,8.72E-05,0.000183134,0,0,0,0,0,0,0.089727043,0.016534403,0,0,0,0,8.72E-06,3.49E-05,0,0,0.892709514,0,0,0,0,0,0,0,3.49E-05
B160S6ZS.03,0,0,0.000735285,0,0,0,0,0,0,0,0,0,0,0,0.008762148,0.707062413,0,0,0,0,0,0,0,0,0.283440154,0,0,0,0,0,0,0,0
B160TLVJ.03,0,0,0.000276045,0.004030255,0,0,0,0.193314194,0,0,0,0,0,0,0.12210843,0.521986971,0.004899796,0,0,0,0,0,0,0,0.15338431,0,0,0,0,0,0,0,0
D160SZNN.03,3.37E-05,0,3.37E-05,0,0,0,0,0.133777912,0,0,0,0,0,0,6.74E-05,0.503266983,0,0,0,0,0,0,0,0,0.362820383,0,0,0,0,0,0,0,0
B160SBRK.03,0,0,0.004124893,0,0,0,0,0.000128903,0,0,0,0,0,0,0.271798911,1.43E-05,0,0,0,0,0,0,0,0,0.72393297,0,0,0,0,0,0,0,0
B160SD4Z.03,0,0,0.004740982,0,0,0,0,0.249679744,0,0,0,0,0,0,0.161349025,0.00258599,0,0,0,0,0,0,0,0,0.58159637,0,0,0,4.79E-05,0,0,0,0
C160SR3K.03,0,0,1.70E-05,0,0,0,0,0,0,0,0,0,0,0,0.061218936,0.165762302,0,0,0,0,0,0,0,0,0.773001752,0,0,0,0,0,0,0,0
B160SKT2.03,0,0,3.88E-05,0,0,0,0,0.000407514,0,0,0,0,0,0,0.045408678,0.066793449,0,0,0,0,0,5.82E-05,0,0,0.887293332,0,0,0,0,0,0,0,0
C160SNZQ.03,0,0,0.001108131,0,0,0,0,0.023333711,0,0,0,0,0,0,0.039716419,0.254656039,0,0,0,0,0,0,0,0,0.6811857,0,0,0,0,0,0,0,0
J160SWYT.03,0,0,0.117920324,0.028627263,0,0,0,0.412969693,0,0,0,0,0,0,0.002382748,0.299163467,0,0.016439248,0,0,0,0,1.71E-05,0.07365949,0.006479704,0,0.042340922,0,0,0,0,0,0
E160SPSD.03,0,0,0.000182571,0,0,0,0,0.000280879,0,0,0,0,0,0,0.210743628,0.162109402,0,0,0,0,0,0,0,1.40E-05,0.626669475,0,0,0,0,0,0,0,0
B160RJN6.03,0,0,3.80E-05,0,0,0,0,0,0,0,0,0,0,0,0.066595672,0.243981288,0,0,0,0,0,0.001635416,0,0,0.687749591,0,0,0,0,0,0,0,0
J160Q98J.03,0,0,0.05330892,0,0,0,0,0,0,0,0,0,0,0,0.132879937,0.439811666,0,0,0,0,0,5.23E-05,0,0,0.373947162,0,0,0,0,0,0,0,0
E160QC2J.03,0.001399018,0,0.000714392,0,0,0,0,2.98E-05,0,0,0,0,0,0,0.058044352,0.274237238,0,0,0,0,0,0,0,0,0.665575234,0,0,0,0,0,0,0,0
A160QP5B.03,8.19E-05,0,0.472733972,0.001924179,0,0,0,0.208793908,0,0,0,0,0,0,0.015270613,0.108941292,0,0,0,0,0.0002047,8.19E-05,0,0,0.191967576,0,0,0,0,0,0,0,0
A160QF1K.03,6.40E-05,0,0.632252287,0.013497089,0,0,0,0.023156144,0,0,0,0,0,0.000639672,0.053156784,0.216145334,0.001727116,0,0,0,0,0,0,0.000191902,0.025714834,0,0,0,0,0,0.033454871,0,0
C160QXGL.03,0,0,0.011275652,0.012703901,0,0,0,0.174058483,0,0,0,0,0,0,0.065135684,0.64087048,0.018717583,0,0,0,0,0,0,0,0.077238217,0,0,0,0,0,0,0,0
A160RHNT.03,0,0,0.365322882,0.000634565,0,0,0,0,0,0,0,0,0,0,0.057745427,0.390966779,3.73E-05,0,0,0,0,0,0,0,0.18529302,0,0,0,0,0,0,0,0
A160QD95.03,0,0,0.050121779,0.039674401,0,0,0,0.112677862,0,0,0,0,0,0,0.129662864,0.605050635,0.002115113,0,0,0,0,0,0.000384566,6.41E-05,0.060120497,0,0,0,0,0,0.000128189,0,0
J160QPRY.03,0.000644621,0,0.000451234,0,0,0,0,0,0,0,0,0,0,0,0.269451428,0.600206279,0,0,0,0,0,0,0,0,0.129246438,0,0,0,0,0,0,0,0
G160T3MZ.03,0,0,0.12044806,0.001788833,0,0,0,0.064227608,0,0,0,0,0,0,0.001831424,0.770816474,0.006899783,0,0,0,0,0,0,4.26E-05,0.029430555,0,0,0,0,0,0.004514673,0,0
H160QFSD.03,6.77E-05,0,0.440018966,0.001557949,0,0,0,0.275960171,0,0,0,0,0,0,0.006164059,0.138657454,0,0,0,0,0,0,0,0,0.137573664,0,0,0,0,0,0,0,0
K160R4SS.03,0,0,0.051609135,0.004672179,0,0,0,0.020809639,0,0,0,0,0,0,0.051332493,0.687148434,0.013739895,0.010881259,0,0,0,0.021055544,0,9.22E-05,0.138659208,0,0,0,0,0,0,0,0
B160PSDM.03,0,0,0.003663683,0.006492603,0,0,0,0,0,0,0,0,0,0,0.013356212,0.8016046,0,0,0,0,0,0,0,0.002782544,0.172100357,0,0,0,0,0,0,0,0
B160QN8W.03,0,0,0.233569087,0.038899431,0,0,0,0.123943419,0,0,0,0,0,0,0.005606348,0.583318958,0.000690012,0,0,0,0,0,0.000345006,0,0.013541487,0,0,8.63E-05,0,0,0,0,0
F160Q14M.03,3.39E-05,0,0.057799348,0.062856367,0,0,0,0.343266359,0,0,0,0,0,0,0.015103177,0.485541678,0.003495791,0,0,0,0,0,0,0.004310345,0.027592995,0,0,0,0,0,0,0,0
C160QS7N.03,0,0,0.217536038,0.002318324,0,0,0,0,0,0,0,0,0,0,0.00609303,0.196998068,0.303462624,0,0,0,0,0.000208055,0,0,0.273383861,0,0,0,0,0,0,0,0
A160RK6G.03,0,0,0.369386112,0.014743232,0,0,0,0.02905284,0,0,0,0,0,0,0.007185777,0.546800471,0,0,0,0,0,6.19E-05,0,0,0.032769622,0,0,0,0,0,0,0,0
F160Q2L4.03,0,0,0.303871316,0.052707898,0,0,0,0.132427329,0,0,0,0,0,0,0.122108316,0.192115735,6.74E-05,0,0,0,0,0,0.000236056,0,0.193565792,0,0,0,0,0,0.002900115,0,0
H160R1TV.03,0,0,0.237739027,0.005102546,0,0,0,0,0,0,0,0,0,0.001238482,0.031308828,0.691717032,0.011839889,0,0,0,0,0,0,0,0.021054196,0,0,0,0,0,0,0,0
G160QCWC.03,5.18E-05,0,0.205931063,0.012886865,0,0,0,0.137666908,0,0,0,0,0,0,0.013300901,0.587206293,0.00843598,0,0,0,5.18E-05,0.004088604,0.002173688,0.013507918,0.014698271,0,0,0,0,0,0,0,0
E160QSXV.03,0,0,0.294267187,0.013447793,0,0,0,0,0,0,0,0,0,0.004126446,0.079028811,0.576523469,0.00574755,0,0,0,0,0,0,0,0.026858743,0,0,0,0,0,0,0,0
A160QYW9.03,0.00089163,0,0.050785749,0,0,0,0,0,0,0,0,0,0,0,0.044024223,0.828175502,0,0,0,0,0,0,0,0,0.076122896,0,0,0,0,0,0,0,0
F160RM7W.03,0,0,0.030849333,0.010933941,0,0,0,0.178913114,0,0,0,0,0,0,0.043800846,0.577416206,6.51E-05,0,0,0,0,0,0,0.000455581,0.157565897,0,0,0,0,0,0,0,0
K160PTN2.03,0,0,0.058248175,0.009489051,0,0,0,0.14540146,0,0,0,0,0,0,0.050510949,0.641605839,0.001605839,0,0,0,0,0,0,0.000291971,0.092846715,0,0,0,0,0,0,0,0
E160QSYR.03,0,0,0.126477805,0.016952933,0,0,0,0.000167299,0,0,0,0,0,0.000334597,0.251226857,0.598985055,0.001171091,0,0,0,0,0,0,0,0.004684363,0,0,0,0,0,0,0,0
H160R7YN.03,0.000222916,0,0.018780651,5.57E-05,0,0,0,0,0,0,0,0,0,0,0.012371823,0.929112795,0.002563531,0,0,0,0,0,0,2.79E-05,0.036836826,0,0,2.79E-05,0,0,0,0,0
B160SNDZ.03,0,0,0.032929883,0,0,0,0,0.001627713,0,0,0,0,0,0,0.009724541,0.506176962,0.004590985,0.001252087,0,0,0,0,0,0,0.44369783,0,0,0,0,0,0,0,0
B160Q677.03,0.000421186,0,0.002527114,0.013846478,0,0,0,0.05191113,0,0,0,0,0,0,0.043855955,0.819100769,0,0,0,0,0,0,0,0.030588607,0.037748763,0,0,0,0,0,0,0,0
D160R2DH.03,4.26E-05,0,0.257058899,0.007154721,0,0,0,0.00017035,0,0,0,0,0,0,0.038115924,0.55278736,0.012989225,0,0,0,0,0.000127763,0,0,0.131553171,0,0,0,0,0,0,0,0
B160RJ3Y.03,0,0,0.095300198,0.00043472,0,0,0,0.092160556,0,0,0,0,0,0,0.164710428,0.479061006,0,0,0,0,0,0,0,0,0.168333092,0,0,0,0,0,0,0,0
A160QHK9.03,0.000349203,0,0.010883483,0.019613549,0,0,0,0.058840647,0,0,0,0,0,0,0.039227098,0.791002212,0.012222093,0,0,0,0,0,0,0.02496799,0.042893726,0,0,0,0,0,0,0,0
J160Q1BN.03,0.00011554,0,0.002657423,0.004563836,0,0,0,0.012940497,0,0,0,0,0,0,0.050259965,0.87729636,0,0,0,0,0,0,0,0.020508377,0.031658001,0,0,0,0,0,0,0,0
J160R1XW.03,6.51E-05,0,0.014058839,0.01659724,0,0,0,0.090015621,0,0,0,0,0,0,0.008135902,0.843855767,0.008591513,0.000650872,0,0,0,0,0,0.004881541,0.013147618,0,0,0,0,0,0,0,0
K160Q684.03,0,0,0.209493195,0.075029068,0,0,0,0.135626838,0,0,0,0,0,0,0.102865741,0.379112236,0.000615553,0,0,0,0,0,0.000341974,0,0.096847001,0,0,0,0,0,6.84E-05,0,0
H160QWZX.03,0,0,0.102354434,0.003477607,0,0,0,0.089242916,0,0,0,0,0,0,0.002960665,0.723295268,0.001832793,9.40E-05,0,0,0,0,0,0.000939894,0.075802434,0,0,0,0,0,0,0,0
G160S95Z.03,0.000219408,0,0.111114594,0,0,0.000188064,0,0.164054664,0,0,0,0,0,0,0.004012036,0.692953862,0.005579238,0,0,0,0,0.000626881,0,0,0.01990346,0,0,0,0,0,0.001347793,0,0
J160SGDS.03,0,0,0.100352741,0.002417661,0,0.000356704,0,0.226031469,0,0,0,0,0,0,0.003051801,0.605921287,0.003923745,0,0,0,0,3.96E-05,0,7.93E-05,0.03456066,0,0,0,0,0,0.023265031,0,0
C160QYTH.03,0,0,0.176272126,0.017285206,0,0,0,0.129361741,0,0,0,0,0,0,0.003420067,0.62037251,0.004159542,0,0,0,4.62E-05,0.002957896,0.003327633,0.00402089,0.034986366,0,0,0,0,0,0.003789805,0,0
D160QSJ7.03,0,0,0.002285958,0.083300314,0,0,0,0.539455637,0,0,0,0,0,0,0.022493828,0.31552318,0.002438355,0.000121918,0,0,0,0.013959584,0,0.003139382,0.017281843,0,0,0,0,0,0,0,0
H160R1S7.03,0,0,0.108148575,0.009847394,0,0,0,0,0,0,0,0,0,0.000230348,0.053556003,0.733141376,0.008062194,0,0,0,0,5.76E-05,0,5.76E-05,0.086898935,0,0,0,0,0,0,0,0
J160PRF6.03,0,0,0.292846563,0.000261392,0,0,0,0,0,0,0,0,0,0,0.275943191,0.28530975,0,0,0,0,0,0,0,0,0.145595539,0,0,0,0,0,0,0,4.36E-05
D160R677.03,0,0,0.060720903,0.010021897,0,0,0,0.126200101,0,0,0,0,0,0,0.000294762,0.776486441,0.003073943,0,0,0,0,0.001305373,0.002526529,0.012548425,0.006695301,0,0,0,0,0,0.000126326,0,0
J160S6KK.03,0,0,0.404421617,0.021438142,0,0,0,0.048310258,0,0,0,0,0,0,0.076187286,0.391432187,0.011314575,3.72E-05,0,0,0,0.000483847,0,0,0.040345392,0,0,0,0,0,0.006029477,0,0
A160SHWX.03,0,0,0.170539164,0.000111976,0,0,0,0.076199541,0,0.000391915,0,0,0,0,0.032584962,0.626280723,0.009293992,5.60E-05,0,0,0,0.015116735,0,0.000895807,0.05615587,0,0,0,0,0,0.012373327,0,0
A160RJ4V.03,0,0,0,0,0,0,0,5.08E-05,0,0,0,0,0,0,0.019565991,0.194389389,0,0,0,0,0,0,0,0,0.7859938,0,0,0,0,0,0,0,0
