SampleID,k__Bacteria|Other|Other,k__Bacteria|p__Actinobacteria|Other,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__Nostocophycideae,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Gemmatimonadetes|c__Gemm-1,k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria],k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__[Brachyspirae],k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Tenericutes|c__RF3,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__[Thermi]|c__Deinococci
D160TL6L.03,6.43E-05,0,0.159121997,0.005765223,0,0,0,0.299433576,0,0,0,0,0,0,0.003378347,0.468066355,0.000660981,0,0,0,0,0,0.00849177,0.008684556,0.046323752,0,0,9.18E-06,0,0,0,0,0
F160T8C2.03,8.23E-06,0,0.66312118,0.001464261,0,0,0,0.041723222,0,0,0,0,0,8.23E-06,0.008168604,0.257652411,0.000296143,0,0,4.94E-05,0,0,0.00228688,0.002015416,0.023206074,0,0,0,0,0,0,0,0
H160WTFN.03,0,0,0.070293785,0.007933922,0,0,0,0.344684847,0,0,0,0,0,0,0.00132232,0.53555892,5.75E-05,0.008068071,0,0,0.000306625,0.007531477,0.001169008,0.022441118,0.000574922,0,0,0,0,0,5.75E-05,0,0
K160WTJ4.03,3.14E-05,0,0.073987441,0.022684458,0,0,0,0.125965463,0,0,0,0,0,1.57E-05,0.021868132,0.67956044,3.14E-05,0.002747253,0,0,4.71E-05,0.002182104,0.001648352,0.058383046,0.010784929,0,6.28E-05,0,0,0,0,0,0
C160SRSL.03,9.25E-06,0,0.635321228,0.002147075,0,0,0,0.062792678,0,0,0,0,0,0,0.015196106,0.263460862,0.000249875,9.25E-06,0,0.004025765,0.004423714,9.25E-06,0.001304903,0.000712607,0.010328169,0,0,9.25E-06,0,0,0,0,0
E160V9S3.03,0.000244762,0,0.076781868,0.004185432,0,0,0,0.169889368,0,0,0,0,0,0,0.000954572,0.737296847,0.000220286,0,0,0,0,4.90E-05,0.001688858,0.006633053,0.002056002,0,0,0,0,0,0,0,0
E160T48S.03,1.58E-05,0,0.143685261,0.001425449,0,0,0,0.101808736,0,0,0,0,0,0,0.08893218,0.590531851,3.17E-05,3.17E-05,0,1.58E-05,0,0.000221737,0.002882575,0.064097691,0.006319491,0,0,0,0,0,0,0,0
A160TTHK.03,2.57E-05,0,0.097002262,0.018767997,0,0,0,0.058437886,0,0,0,0,0,2.57E-05,0.005476142,0.8063297,0.000179967,0,0,0,0,0,0.002442411,0.002930893,0.008381325,0,0,0,0,0,0,0,0
C160S70P.03,1.21E-05,0,0.134763543,0.007510418,0,0,0,0.139972381,0,0,0,0,0,0,0.020811125,0.656689117,0.000690474,0,0,0,0.000751042,0,0.007437736,0.016777304,0.014584747,0,0,0,0,0,0,0,0
G160SZZN.03,0.000223555,0,0.196970826,0.003670032,0,0,0,0.051864824,0,0,0,0,0,0,0.039029025,0.67075897,0.000316703,0,0,0,0,0,0.00380044,0.008644137,0.024702858,0,1.86E-05,0,0,0,0,0,0
