,Experiments,Time,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XIII. Incertae Sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Catabacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae
22,exp_0,22,18949.0,5125.0,5429.0,929.0,1736.0,575.0,19.0,69.0,757.0,735.0,80.0,9.0,0.0,151.0,12.0,8.0,1.0,0.0,0.0,10.0
23,exp_0,23,17340.0,4237.0,8114.0,788.0,1356.0,254.0,245.0,313.0,686.0,3665.0,227.0,81.0,0.0,209.0,41.0,16.0,18.0,0.0,13.0,10.0
24,exp_0,24,21302.0,5206.0,4751.0,1423.0,2235.0,614.0,21.0,86.0,563.0,1254.0,90.0,24.0,0.0,176.0,22.0,10.0,2.0,0.0,1.0,10.0
25,exp_0,25,21739.0,4282.0,6079.0,1933.0,2344.0,952.0,33.0,167.0,586.0,1708.0,164.0,28.0,0.0,281.0,25.0,5.0,2.0,0.0,3.0,10.0
26,exp_0,26,17311.0,6592.0,6846.0,1517.0,1716.0,765.0,72.0,129.0,574.0,1214.0,325.0,7.0,0.0,282.0,31.0,12.0,2.0,0.0,4.0,43.0
27,exp_0,27,15840.0,6826.0,6193.0,1292.0,1673.0,715.0,296.0,732.0,683.0,1827.0,392.0,69.0,0.0,288.0,23.0,40.0,30.0,0.0,11.0,53.0
28,exp_0,28,23116.0,5011.0,7478.0,1428.0,1983.0,739.0,51.0,78.0,679.0,807.0,166.0,10.0,0.0,83.0,13.0,2.0,8.0,0.0,2.0,15.0
29,exp_0,29,22248.0,4637.0,6263.0,1186.0,1882.0,703.0,188.0,196.0,592.0,2894.0,214.0,88.0,0.0,166.0,31.0,20.0,34.0,0.0,8.0,8.0
30,exp_0,30,21606.0,6270.0,4960.0,1830.0,2052.0,1049.0,32.0,44.0,793.0,796.0,131.0,4.0,0.0,282.0,13.0,5.0,4.0,0.0,0.0,12.0
31,exp_0,31,20109.0,2984.0,7905.0,700.0,2003.0,398.0,131.0,237.0,674.0,1498.0,81.0,4.0,0.0,217.0,7.0,9.0,17.0,0.0,3.0,1.0
32,exp_0,32,4406.0,2379.0,2823.0,2739.0,480.0,206.0,8494.0,8510.0,1834.0,555.0,300.0,5.0,0.0,196.0,14.0,305.0,1036.0,0.0,672.0,17.0
33,exp_0,41,13186.0,5081.0,9220.0,1216.0,2311.0,500.0,134.0,118.0,642.0,676.0,182.0,150.0,0.0,150.0,25.0,9.0,15.0,0.0,1.0,407.0
34,exp_0,42,16185.0,4839.0,6985.0,1910.0,5644.0,584.0,253.0,193.0,900.0,4495.0,112.0,225.0,2.0,167.0,47.0,15.0,12.0,0.0,5.0,31.0
35,exp_0,43,18323.0,4266.0,4948.0,1860.0,3704.0,397.0,245.0,170.0,1229.0,4675.0,133.0,461.0,1.0,150.0,47.0,10.0,10.0,0.0,1.0,9.0
36,exp_0,44,8302.0,2943.0,3850.0,1624.0,1316.0,138.0,3963.0,5044.0,1423.0,4008.0,92.0,1428.0,0.0,137.0,55.0,127.0,242.0,0.0,68.0,30.0
37,exp_0,45,17042.0,4327.0,5195.0,1453.0,2061.0,550.0,28.0,19.0,530.0,2802.0,240.0,343.0,1.0,123.0,34.0,3.0,3.0,0.0,0.0,35.0
38,exp_0,46,14910.0,4663.0,4424.0,888.0,1891.0,648.0,40.0,50.0,688.0,4741.0,196.0,191.0,0.0,337.0,213.0,11.0,0.0,0.0,0.0,9.0
39,exp_0,47,14310.0,1361.0,1961.0,208.0,1652.0,137.0,16.0,9.0,195.0,7465.0,96.0,166.0,0.0,119.0,67.0,0.0,1.0,0.0,0.0,6.0
40,exp_0,48,18613.0,2189.0,4957.0,522.0,1989.0,433.0,13.0,7.0,616.0,4558.0,555.0,219.0,0.0,170.0,166.0,2.0,3.0,0.0,1.0,13.0
41,exp_0,49,16847.0,3364.0,4154.0,518.0,1803.0,385.0,9.0,9.0,739.0,5671.0,433.0,172.0,0.0,254.0,190.0,13.0,1.0,1.0,2.0,6.0
42,exp_0,50,6786.0,3764.0,6731.0,655.0,554.0,282.0,3879.0,3357.0,735.0,1183.0,267.0,56.0,0.0,244.0,485.0,412.0,354.0,0.0,315.0,46.0
43,exp_0,52,25074.0,3040.0,5389.0,1362.0,1931.0,1344.0,41.0,15.0,704.0,1568.0,707.0,195.0,0.0,274.0,228.0,3.0,4.0,0.0,0.0,21.0
44,exp_0,53,5500.0,3464.0,6245.0,2218.0,406.0,257.0,7359.0,3797.0,1026.0,288.0,401.0,690.0,0.0,180.0,268.0,87.0,665.0,2.0,360.0,59.0
45,exp_0,56,19535.0,4910.0,3786.0,1505.0,2217.0,1043.0,24.0,7.0,930.0,2363.0,145.0,118.0,0.0,304.0,126.0,2.0,5.0,2.0,1.0,9.0
46,exp_0,57,18263.0,3217.0,2820.0,1383.0,847.0,332.0,11.0,2.0,585.0,4191.0,12.0,30.0,1.0,141.0,18.0,0.0,0.0,0.0,0.0,3.0
47,exp_0,58,20243.0,4083.0,3917.0,1569.0,1089.0,491.0,20.0,36.0,618.0,3660.0,23.0,68.0,0.0,188.0,50.0,2.0,2.0,1.0,1.0,12.0
48,exp_0,59,19042.0,3035.0,4241.0,1200.0,1162.0,425.0,16.0,26.0,923.0,2413.0,59.0,22.0,0.0,191.0,65.0,2.0,2.0,1.0,1.0,9.0
49,exp_0,60,17848.0,6548.0,5348.0,1430.0,1284.0,956.0,6.0,2.0,661.0,2231.0,84.0,81.0,0.0,283.0,144.0,0.0,1.0,0.0,1.0,12.0
50,exp_0,61,20497.0,6354.0,5338.0,1383.0,1960.0,859.0,0.0,0.0,934.0,1715.0,100.0,57.0,0.0,202.0,163.0,0.0,8.0,1.0,0.0,17.0
51,exp_0,62,26361.0,6207.0,5862.0,1950.0,2627.0,1146.0,31.0,14.0,1153.0,1780.0,132.0,29.0,0.0,227.0,125.0,0.0,3.0,0.0,0.0,51.0
52,exp_0,64,21275.0,8637.0,7157.0,2459.0,905.0,1564.0,2.0,3.0,626.0,93.0,184.0,7.0,0.0,200.0,39.0,0.0,1.0,0.0,0.0,64.0
53,exp_0,65,20173.0,5982.0,10381.0,2202.0,1069.0,1473.0,1.0,0.0,806.0,21.0,446.0,7.0,0.0,128.0,91.0,1.0,2.0,0.0,1.0,23.0
54,exp_0,66,20682.0,5915.0,7550.0,2394.0,1631.0,2256.0,22.0,40.0,802.0,2.0,147.0,2.0,0.0,244.0,93.0,1.0,3.0,0.0,2.0,64.0
55,exp_0,67,17289.0,6827.0,6253.0,1919.0,1593.0,2433.0,5.0,23.0,905.0,0.0,163.0,26.0,0.0,242.0,117.0,1.0,1.0,2.0,0.0,78.0
56,exp_0,68,15446.0,4626.0,9355.0,1455.0,1483.0,2087.0,1.0,14.0,649.0,0.0,594.0,2.0,0.0,97.0,92.0,0.0,1.0,0.0,0.0,51.0
57,exp_0,69,15406.0,4414.0,10243.0,1419.0,1228.0,2045.0,20.0,60.0,760.0,4.0,1666.0,7.0,0.0,89.0,34.0,0.0,3.0,0.0,1.0,30.0
58,exp_0,70,24384.0,6527.0,8512.0,2488.0,2157.0,2402.0,14.0,31.0,586.0,1.0,779.0,4.0,0.0,170.0,44.0,0.0,2.0,0.0,0.0,41.0
59,exp_0,71,21050.0,5143.0,9243.0,2243.0,1754.0,2036.0,1.0,2.0,772.0,3.0,252.0,13.0,0.0,164.0,62.0,1.0,0.0,1.0,1.0,47.0
60,exp_0,72,3158.0,3759.0,4879.0,2431.0,452.0,654.0,11728.0,8896.0,2044.0,0.0,244.0,34.0,0.0,197.0,179.0,726.0,1258.0,4.0,724.0,41.0
61,exp_0,73,23136.0,4454.0,6043.0,2685.0,2424.0,1878.0,1.0,1.0,909.0,1.0,408.0,180.0,0.0,281.0,103.0,0.0,4.0,0.0,1.0,53.0
62,exp_0,79,25756.0,3263.0,6851.0,1269.0,1831.0,1633.0,0.0,0.0,674.0,2.0,287.0,5.0,0.0,213.0,18.0,0.0,2.0,0.0,0.0,26.0
63,exp_0,80,19279.0,6849.0,8513.0,1287.0,1269.0,1267.0,983.0,1670.0,982.0,11.0,362.0,130.0,0.0,214.0,127.0,214.0,86.0,2.0,19.0,30.0
64,exp_0,81,28338.0,5482.0,5451.0,1566.0,2243.0,2111.0,1.0,1.0,963.0,4.0,768.0,3.0,0.0,221.0,61.0,2.0,3.0,1.0,0.0,18.0
65,exp_0,82,27671.0,6396.0,7388.0,1134.0,1934.0,1185.0,9.0,6.0,1122.0,0.0,898.0,3.0,0.0,185.0,82.0,1.0,4.0,1.0,0.0,51.0
66,exp_0,83,29892.0,5318.0,4839.0,1135.0,1965.0,1292.0,10.0,2.0,1290.0,0.0,840.0,1.0,0.0,140.0,39.0,0.0,3.0,0.0,0.0,17.0
67,exp_0,84,13431.0,3958.0,2924.0,1560.0,1245.0,1514.0,2164.0,8057.0,2163.0,0.0,144.0,64.0,0.0,329.0,101.0,1088.0,273.0,1.0,29.0,39.0
68,exp_0,86,21738.0,5903.0,6157.0,1546.0,2265.0,706.0,49.0,87.0,872.0,9.0,511.0,13.0,0.0,247.0,90.0,8.0,12.0,1.0,2.0,17.0
69,exp_0,87,23168.0,2614.0,4374.0,1092.0,2560.0,566.0,21.0,126.0,848.0,0.0,1624.0,7.0,1.0,289.0,46.0,18.0,1.0,0.0,0.0,11.0
70,exp_0,88,24668.0,3626.0,6110.0,1214.0,2878.0,1111.0,16.0,24.0,746.0,6.0,675.0,55.0,0.0,365.0,95.0,5.0,1.0,0.0,1.0,35.0
71,exp_0,89,23564.0,3078.0,6334.0,1196.0,2887.0,832.0,2.0,0.0,733.0,2.0,1767.0,1.0,0.0,263.0,104.0,0.0,0.0,0.0,1.0,33.0
72,exp_0,90,23340.0,4126.0,5899.0,1215.0,3553.0,1152.0,0.0,1.0,716.0,3.0,1022.0,3.0,0.0,161.0,111.0,0.0,0.0,0.0,0.0,29.0
73,exp_0,91,22404.0,4168.0,6900.0,1075.0,2458.0,1521.0,3.0,1.0,709.0,40.0,261.0,11.0,0.0,151.0,157.0,3.0,1.0,0.0,0.0,17.0
74,exp_0,92,26104.0,4842.0,5806.0,1529.0,2308.0,2102.0,0.0,0.0,781.0,71.0,255.0,0.0,0.0,281.0,154.0,0.0,1.0,2.0,1.0,16.0
75,exp_0,93,24269.0,5128.0,4799.0,1524.0,2435.0,1755.0,6.0,17.0,666.0,364.0,295.0,18.0,0.0,306.0,101.0,1.0,1.0,0.0,0.0,10.0
76,exp_0,95,12050.0,6233.0,5844.0,1638.0,1443.0,941.0,2076.0,1481.0,724.0,194.0,261.0,1942.0,0.0,304.0,455.0,92.0,173.0,0.0,52.0,26.0
77,exp_0,96,19180.0,6381.0,5789.0,1355.0,1979.0,1244.0,11.0,1.0,488.0,38.0,807.0,17.0,112.0,362.0,284.0,1.0,6.0,0.0,0.0,18.0
78,exp_0,97,13176.0,7111.0,8627.0,1218.0,1341.0,986.0,671.0,365.0,744.0,120.0,340.0,800.0,103.0,335.0,397.0,55.0,138.0,1.0,25.0,33.0
79,exp_0,98,19301.0,4363.0,7625.0,904.0,2080.0,1006.0,51.0,80.0,427.0,4.0,1767.0,373.0,170.0,112.0,123.0,10.0,4.0,0.0,1.0,53.0
80,exp_0,99,22827.0,3674.0,6798.0,1007.0,2573.0,1244.0,11.0,4.0,1108.0,10.0,742.0,933.0,197.0,176.0,62.0,0.0,1.0,1.0,1.0,10.0
81,exp_0,100,13988.0,2486.0,2031.0,625.0,8719.0,615.0,1.0,13.0,516.0,5.0,68.0,24190.0,19.0,247.0,78.0,10.0,3.0,1.0,0.0,2.0
82,exp_0,101,26859.0,4353.0,6202.0,1507.0,2630.0,1702.0,4.0,2.0,865.0,5.0,944.0,2810.0,196.0,253.0,160.0,2.0,0.0,1.0,0.0,12.0
83,exp_0,102,20445.0,3996.0,4065.0,1504.0,2737.0,1541.0,0.0,1.0,592.0,13.0,214.0,3928.0,188.0,198.0,113.0,3.0,3.0,1.0,1.0,6.0
84,exp_0,103,19748.0,4485.0,4379.0,1750.0,2141.0,1278.0,1.0,3.0,409.0,14.0,528.0,931.0,205.0,221.0,174.0,1.0,4.0,1.0,0.0,60.0
85,exp_0,104,20670.0,4657.0,4145.0,1432.0,2736.0,1105.0,25.0,46.0,585.0,23.0,766.0,551.0,228.0,365.0,173.0,12.0,4.0,0.0,2.0,12.0
86,exp_0,105,8713.0,6845.0,7606.0,1546.0,1107.0,749.0,6870.0,4413.0,1043.0,19.0,531.0,1177.0,231.0,327.0,469.0,834.0,745.0,1.0,364.0,66.0
87,exp_0,112,15575.0,4475.0,7998.0,1845.0,1569.0,1199.0,21.0,25.0,642.0,5.0,1036.0,5.0,1740.0,192.0,66.0,0.0,1.0,0.0,1.0,5.0
88,exp_0,113,17993.0,4672.0,6569.0,2316.0,2294.0,2219.0,26.0,83.0,827.0,11.0,438.0,114.0,1949.0,202.0,73.0,4.0,2.0,1.0,1.0,15.0
89,exp_0,114,23250.0,5904.0,6845.0,3094.0,3226.0,3254.0,26.0,60.0,1116.0,36.0,327.0,377.0,2072.0,286.0,150.0,9.0,6.0,1.0,2.0,29.0
90,exp_0,115,22410.0,6011.0,7358.0,2657.0,2050.0,3395.0,10.0,11.0,733.0,27.0,502.0,645.0,1180.0,335.0,260.0,0.0,1.0,3.0,2.0,52.0
91,exp_0,117,18114.0,5348.0,6427.0,1665.0,1876.0,1471.0,166.0,42.0,716.0,71.0,253.0,9.0,392.0,139.0,180.0,6.0,6.0,0.0,3.0,57.0
92,exp_0,118,19395.0,3921.0,5205.0,1143.0,1464.0,1159.0,5.0,0.0,346.0,25.0,698.0,4.0,380.0,168.0,81.0,0.0,0.0,0.0,2.0,13.0
93,exp_0,120,27426.0,6793.0,6836.0,1194.0,1740.0,1328.0,2.0,2.0,852.0,2502.0,218.0,32.0,336.0,144.0,103.0,3.0,1.0,1.0,1.0,77.0
94,exp_0,121,20261.0,5993.0,6486.0,1385.0,1302.0,1151.0,3.0,2.0,690.0,839.0,129.0,45.0,324.0,146.0,79.0,1.0,0.0,1.0,0.0,50.0
95,exp_0,122,19791.0,6816.0,6889.0,1616.0,1267.0,1804.0,17.0,11.0,811.0,2195.0,178.0,171.0,450.0,225.0,155.0,1.0,3.0,1.0,3.0,47.0
96,exp_0,123,18225.0,6649.0,6126.0,2100.0,1697.0,1593.0,7.0,3.0,347.0,766.0,244.0,21.0,426.0,226.0,156.0,17.0,1.0,0.0,3.0,45.0
97,exp_0,124,18513.0,5648.0,6101.0,2153.0,2392.0,1620.0,17.0,8.0,657.0,864.0,235.0,50.0,805.0,353.0,102.0,2.0,7.0,3.0,1.0,56.0
98,exp_0,125,18858.0,6661.0,7832.0,1720.0,1736.0,1261.0,0.0,0.0,620.0,225.0,560.0,1.0,722.0,207.0,76.0,1.0,0.0,0.0,1.0,26.0
99,exp_0,126,16549.0,6581.0,10114.0,1655.0,1255.0,1363.0,5.0,3.0,460.0,107.0,1979.0,9.0,388.0,187.0,231.0,3.0,0.0,0.0,1.0,36.0
