,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.408042757,0.951956944,0.307452116,0.064039934,0.537997364,0.673683366,0.312449281
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,0.424672518,0.020231621,0.290281848,0.793863854,0.369346734,0.142102489,0.000111164
k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,0.003859527,0.016793936,0.004591091,0.011703115,0.005704753,0.001936563,0.453994686
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0.033855348,0.000563555,0.186567113,0.025247683,0.011203559,0.032680937,0.002501195
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.043548631,0.000197244,0.030518059,0.02341384,0.008938133,0.046947335,0.008592994
