,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.19498557,0.309047588,0.473283294,0.027179474,0.337259764,0.449406593,0.091736912
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0.060786436,0.002051757,0.153042013,0.002531679,0.009573656,0.00370696,0.829591837
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae,0.041305916,0.631544113,0.062462842,0.246097542,0.076625018,0.2123663,0.001774623
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0.16540404,0.00259448,0.010367122,0.038893407,0.024703133,0.005010989,0.004968944
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.003427128,0.001906149,0.015532105,0.637091062,0.053483714,0.04385348,0.028704525
