,1,2,3,4,5,6,7
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0.000814664,0.612473875,0.580769231,0.007203992,0.931450888,0.0,0.091977955
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.964747269,0.010119899,0.000164835,0.437312052,0.015210298,0.802347596,0.014329455
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,3.7e-05,0.116928831,0.073708791,0.348137867,0.002466535,9.47e-05,0.009185548
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,0.0,0.048729513,0.319752747,0.013201811,2.57e-05,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.000185151,0.0,0.0,0.0,0.0,0.0,0.731047152
