,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.392396358,0.680479129,0.310109978,0.015806806,0.825004852,0.01163352,0.644236469
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0.509097161,0.069952813,0.59554876,0.802305159,6.47e-05,0.490232992,0.215290377
k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,0.095905156,0.013110708,0.088190837,0.047859495,0.174509994,0.00025745,0.139341465
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,7.48e-05,0.230083485,1.74e-05,0.092810099,0.0,0.139103431,3.59e-05
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,2.99e-05,0.0,0.0,0.0,3.23e-05,0.199942074,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,0.0,0.0,0.0,0.0,0.0,0.079552037,0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Aurantimonadaceae,0.0,0.0,0.0,0.023326015,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae,0.0,0.000827586,0.0,0.017892426,0.0,9.65e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0178445,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0.0,0.000580762,0.000312733,0.0,1.62e-05,0.01655725,3.59e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae,0.0,0.0,0.0,0.0,0.0,0.008721117,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.0,0.0,0.0,0.0,0.0,0.006516702,1.8e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.0,0.0,0.0,0.0,0.0,0.005824805,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,1.5e-05,0.0,0.0,0.0,0.0,0.005776533,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.0,0.0,0.0,0.0,0.0,0.004698462,0.0
k__Bacteria|p__[Thermi]|c__Deinococci|o__Thermales|f__Thermaceae,0.0,0.0,0.0,0.0,0.0,0.004441012,7.19e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,2.99e-05,0.0,0.0,0.0,0.0,0.003491665,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae,0.000388704,0.0,0.001355178,0.0,0.0,0.0,0.00043112
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae,0.0,0.0,0.0,0.0,1.62e-05,0.002268778,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,0.000269103,0.000827586,0.000694963,0.0,0.000113203,0.0,0.0
