,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,8.43e-05,0.715363081,0.807265029,0.785138128,0.002672216,0.987850121,0.574311272
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.901202759,0.003627949,0.001666387,0.000113153,0.411998817,0.0001,0.378787351
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0.031555882,0.0,4.19e-05,3.23e-05,0.298401219,0.0,4.35e-05
k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,0.00065014,0.21330629,0.178932255,0.211321792,0.005071524,0.009379906,0.017124658
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0.001191924,0.0,1.05e-05,0.0,0.156000546,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,0.006332848,0.0,0.0,0.0,0.078403948,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,0.002841354,0.0,1.05e-05,0.0,0.017545655,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.032434775,0.0,0.0,0.0,0.001432763,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.0,0.0,0.011392219,0.0,0.0,0.002289977,0.014105219
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__[Weeksellaceae],6.02e-05,0.020567903,0.0,0.0,0.001398649,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae,0.014242888,0.0,0.000178167,0.0,0.003479566,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.002817274,0.0,0.0,1.62e-05,0.007982534,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae,1.2e-05,0.0,0.0,0.0,0.000682268,0.0,0.012008145
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae,0.0,0.00848426,0.0,0.002311559,0.0,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae],0.002732997,0.0,0.0,0.0,0.004389257,0.0,0.0
