,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.592174346,0.073637339,0.679969259,0.480954889,0.51207228,0.029242589,0.018296433
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0.01811807,0.594197119,0.034912444,0.008682515,0.038023837,0.497055051,0.614621771
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0.003337071,0.113142879,0.003403414,0.305574362,0.320530565,0.369173897,0.330412054
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.233950914,0.028121944,0.242081572,0.022612152,0.021337947,0.003062196,0.000384379
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,8.01e-05,0.061370779,0.0,0.0,3.84e-05,0.039008511,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,0.040427501,0.05991816,0.015864303,0.051449384,0.005113418,0.004813992,7.69e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,4.45e-05,0.046388865,0.0,0.001824268,7.69e-05,0.042387961,0.010378229
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.016818837,0.003152088,0.002689795,0.024900323,0.02414456,0.000951764,0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae,0.0,0.000218368,0.0,0.00151082,7.69e-05,0.0,7.69e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae,0.016204816,7.6e-05,0.008398748,0.002432358,0.012956555,2.76e-05,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.008115756,0.003266019,0.004281715,0.006438226,0.007266436,0.000206905,0.001230012
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0.005099044,0.000503195,0.001042982,0.004494847,0.00472895,0.000772446,0.006150062
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__[Weeksellaceae],0.008516205,0.000788022,0.0,0.002049951,0.0029604,0.002000083,0.002075646
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.00451172,0.000522183,0.001317451,0.007021239,0.003921569,0.000165524,0.000845633
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae,0.030256109,0.0,0.0,0.000683317,0.000961169,0.0,0.001076261
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,0.0,0.000645608,0.0,0.026273227,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.006976703,0.000731057,0.000329363,0.014964016,0.002652826,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0.001957748,0.000550666,0.000219575,0.005052785,0.010611303,0.002193194,0.0
