,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.01162423,0.129358131,0.069992455,0.193880636,0.374996847,0.356730969,0.37897892
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.170197333,0.273985909,0.289671877,0.098945841,0.101226065,0.029664418,0.220522595
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.0,0.282559706,0.000886818,0.124664906,0.394005903,0.208408881,0.059117714
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.278032994,0.016292804,0.176688594,0.246749844,0.020510104,0.090271379,0.02176392
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.257983521,0.006125991,0.081362259,0.030213855,0.004793259,0.024804566,0.005245496
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.13776108,0.000634616,0.16203624,0.028661843,0.000479326,0.052031626,0.000863389
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.0,0.130730974,6.62e-05,0.03210852,0.029478544,0.036203668,0.133776431
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.002901408,0.066414547,0.006393033,0.055811985,0.026955776,0.020791844,0.077330336
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.107035914,0.001942703,0.059694776,0.010360188,0.002623679,0.000341824,0.007884534
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.0,0.031484743,0.0,0.035172233,0.005714069,0.077296912,0.023539569
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.008350847,0.000246076,0.102341465,0.029528551,0.001501047,0.000416134,0.000276936
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,1.86e-05,0.000790033,0.014149383,0.047668958,2.52e-05,0.067651517,0.002101456
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.0,0.021732373,0.0,0.025638442,0.009864023,0.006717594,0.006988564
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.0,0.000310833,0.000172069,0.004313386,0.003002094,0.011295069,0.025722477
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0.006435174,0.0,0.032825509,0.0,3.78e-05,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,0.0,0.005582034,0.0,0.022675508,0.001185701,0.003106144,0.001726778
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|Other,0.0,0.000621665,0.000886818,0.005341342,0.007252958,0.01145855,0.000863389
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae,0.0,0.006631094,0.0,4.03e-05,0.008451273,0.0,0.004430978
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,9.3e-05,0.016357561,9.27e-05,0.000120936,0.000441484,0.000341824,0.001140325
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.010712891,0.000880692,0.000436791,0.000947332,0.000239663,0.000639063,0.001400971
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae,0.0,1.3e-05,0.0,0.000322496,0.00049194,0.001144369,0.010947121
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|Other,0.008499637,2.59e-05,0.002210427,0.001189204,1.26e-05,4.46e-05,0.000276936
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__,0.0,0.001903849,0.0,0.003990889,0.000946038,0.0,0.004398397
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,0.0,0.000647568,0.0,0.0,0.002144353,0.0,0.004251784
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae],0.0,2.59e-05,0.0,0.0,0.001942531,0.0,0.00408888
