,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.692797219,0.429649469,0.293214878,0.68056659,0.611818438,7.64e-05,0.671844794
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.14197789,0.173749726,0.000228776,0.172922278,0.186675601,4.58e-05,0.044894366
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.022358414,0.117321071,0.044592302,0.004611777,0.006401213,0.906181707,0.017519332
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.014191255,0.015951623,0.343907879,0.013118375,0.023277139,7.64e-05,0.033209058
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.066578679,0.106490138,0.141860332,0.08555041,0.036767299,3.06e-05,0.025372825
