,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.0,0.587405625,0.253852612,0.555367709,0.073035308,0.02339289,5.65e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.0,0.001659338,0.154754489,0.000845309,0.448035308,0.4816725,9.42e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.800419984,0.021239525,0.00966877,0.154812221,0.000569476,0.001289372,0.985435979
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.0,0.051522443,0.298161038,0.03610675,0.324743736,0.077546509,3.77e-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.0,0.153903592,0.089293936,0.084893129,0.04071754,0.064652791,1.88e-05
