,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.176405541,0.017344525,0.183110456,0.449141668,0.496385802,0.055470932,0.205342811
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.364858573,0.29323378,0.342318627,0.246367262,0.183838602,0.459126682,0.425934419
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.144337097,0.161804944,0.156049279,0.09998266,0.11562736,0.010408733,0.049873882
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,0.06052846,0.062839123,0.069864168,0.04081845,0.039783148,0.00418888,0.150882825
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.027296007,0.266103974,0.050647573,0.032079071,0.006715935,0.000634679,0.008140335
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.042893726,0.172100357,0.037748763,0.021016126,0.014348905,0.000126936,0.001031873
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.0,0.0,0.0,0.044771978,0.08045636,0.05851739,0.068447604
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.000465604,0.0,0.000157945,0.000901682,0.003641169,0.266057375,0.000229305
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.010068677,0.0,0.0,0.007594937,0.000269716,0.0,0.007337767
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.01711093,0.000278254,0.016952722,0.026877059,0.020390549,0.004696624,0.035198349
