,1,2,3,4,5,6,7
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.205859701,0.027923694,0.621048177,0.718417553,0.745553983,0.004443526,0.689935744
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.277196586,0.145839093,0.012210603,0.016996343,0.01376831,0.365712514,0.010607962
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.280469803,0.750069118,0.023333132,0.038522274,0.029028187,0.05476904,0.022812821
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.000128361,0.000967653,0.165810313,0.032704455,0.066546831,0.121111915,0.099235771
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.000128361,0.000691181,0.006407544,0.059757314,0.079970934,0.295236127,0.117371963
