,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.39648892,0.473387353,0.19568882,0.039389496,0.15647726,0.174162802,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.08552565,0.02584472,0.13884007,0.6405403,0.501923718,0.560444236,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.060862086,0.033471031,0.00208027,0.002154981,0.000578228,0.004489171,0.587141804
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.114616007,0.07650143,0.042143395,0.007531325,0.007005449,0.028424322,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.030228676,0.148209935,0.031204046,0.087665511,0.014500167,0.055763585,0.000368562
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.107533138,0.065432687,0.143574477,0.003954501,0.056177027,0.019914046,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.000708287,0.003389471,0.114486568,0.116524482,0.069387301,0.063124973,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.05714358,0.09908908,0.028657509,0.022705056,0.028644501,0.014871708,0.000115176
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.012673277,0.013531406,0.218679387,0.00222163,0.108729011,0.006531637,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|Other,0.0,0.0,0.001721603,0.0,0.0,4.26e-05,0.1637796
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,0.0,0.004024997,0.004519207,0.019061584,0.011431113,0.025147866,0.000368562
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.00025296,0.000105921,0.0,0.000377677,0.000266874,8.51e-05,0.154865014
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.085045027,0.028651626,0.002833471,0.021149916,0.000489269,0.000276584,0.001543352
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.010851968,0.003654274,0.004304006,0.001710655,0.004203269,0.003361559,0.000460702
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,0.011914398,0.005984536,0.022380833,0.002932551,0.002490826,0.003638143,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae,0.014140443,0.011465946,0.002654137,0.003310228,0.011297676,0.006191226,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.000733583,0.000609046,0.003873606,0.020683373,0.008250862,0.010339986,0.001197825
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,5.06e-05,2.65e-05,7.17e-05,2.22e-05,6.67e-05,2.13e-05,0.069059246
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.0,5.3e-05,0.011871884,0.0,0.004981652,0.00217012,0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,0.003086107,0.001774176,0.000609734,0.004998667,0.001734683,0.008850687,0.0
