,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.359332419,0.082795815,0.117383284,0.376916609,0.124261181,0.142069026,0.084796711
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.077134007,0.018401061,0.14929738,0.12892491,0.124835172,0.341998411,0.598497013
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.001066369,0.03151652,0.225003374,0.094555669,0.42507873,0.199841116,0.033695163
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.062374109,0.458718555,0.186370521,0.097275151,0.03878314,0.104753288,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.030620017,0.162402351,0.06924219,0.03057628,0.075937388,0.073660517,1.28e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.029722913,0.002418835,0.00080985,0.000161022,0.009571679,0.000662018,0.001926906
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.015893972,0.001469218,0.0,0.150841787,0.0,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.192471098,0.026445926,0.0,0.002075394,0.001349653,0.006090564,1.28e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.00028775,0.001970902,0.158130746,0.000590414,0.071066226,0.00668638,0.063690667
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.012694866,0.004622662,0.034613596,0.050829263,0.023037185,0.031225174,0.048647954
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.016943415,0.118934996,0.004904093,0.001538654,0.006593134,0.00048548,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.03229574,0.000913782,0.005743937,0.001162936,0.00943206,0.00507547,0.13485773
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,0.0,0.0,0.018851512,0.003739288,0.05497898,0.033365699,0.011163209
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae,0.071125104,0.018705655,0.005503982,0.005421072,0.002389041,0.003552829,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae,0.006821375,0.008994481,0.0,0.021040202,0.0,0.021559714,0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.029384384,0.001773812,0.0,0.02263253,7.76e-05,0.008738635,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|Other,0.00665211,0.000215008,0.0140524,0.002540569,0.012891516,0.00942272,0.00710386
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.012559454,0.017093098,3e-05,0.001699676,0.016940476,0.008186954,1.28e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.000135412,7.17e-05,0.001694686,0.000125239,0.000899769,0.000573749,0.014952791
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae],0.016215576,0.010624955,0.0,0.0061904,0.0,0.0,0.0
