,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.670062244,0.457512357,0.643796057,0.194297009,0.002219518,0.307665962,0.652923303
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.003358109,0.153944072,0.099004182,0.197139621,9.01e-05,0.076927659,0.056719754
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.073808152,0.045107996,0.073551085,0.036532013,0.000540796,0.290213539,0.061923722
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,7.03e-05,0.012296025,0.001165107,0.351306936,3.38e-05,0.032164875,0.031066639
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.194124011,0.154282619,0.011282613,0.006040552,0.000247865,0.098579385,0.120302459
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.009175085,0.015654411,0.00671181,0.017411002,0.605590482,0.017363076,0.005710394
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.0,0.0,0.0,0.085256168,0.0,0.000223367,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.007545208,0.035195342,0.047082255,0.032978747,4.51e-05,0.017646008,0.036532551
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.0,1.35e-05,3.98e-05,6.66e-05,0.237882782,0.006641451,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.031642101,0.019148216,0.026887074,0.005929512,0.003334911,0.104193347,0.005343671
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.006266597,0.065028099,0.02177853,0.00042195,3.38e-05,0.013595616,0.004680078
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.001629877,0.003588598,0.007379008,0.015234627,0.000157732,0.000565864,0.001833613
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,7.03e-05,0.001665651,0.011451902,0.000244287,0.097332071,0.00610537,5.24e-05
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae,4.22e-05,0.007150112,0.018731328,0.003864176,1.13e-05,0.012553236,0.005588153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.001124053,0.003399011,0.006084445,0.010992916,2.25e-05,0.002695297,0.003510059
