,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.229387351,0.279883545,0.107478871,0.126487916,0.235896493,0.0,0.062085053
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.018026389,0.00268742,0.518099187,0.479860527,0.053777287,0.0,0.498833662
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.362510066,0.169475393,0.007654282,0.007093904,0.180279617,0.0,0.0240445
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.0,0.0,0.000159464,0.0,0.000183959,0.976988316,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.230192653,0.089300711,0.065380322,0.002645185,0.096517047,0.0,0.009510138
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.012513164,0.21611332,0.029181949,0.076109174,0.020358106,0.0,0.089179975
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.020813975,0.001623649,0.117046723,0.035108813,0.038570027,0.0,0.068724206
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.008238865,0.074575892,0.003986605,0.03186245,0.216826098,0.0,0.006100843
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.0,0.000167964,0.044649976,0.113742936,0.000122639,0.0,0.114659968
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,0.022734312,0.027602038,0.018497847,0.002044006,0.049300957,0.0,0.008074646
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae,0.0,0.000895807,0.026311593,0.036070699,0.026796664,0.0,0.021532388
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.0,0.0,0.022165524,0.031020801,0.0,0.0,0.044679706
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.032645729,0.05615587,0.000318928,0.000480943,0.032805985,0.0,0.000179437
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae,0.0,0.015116735,0.003508212,0.000961885,0.0,0.0,0.003588731
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.001053088,0.031969095,0.000956785,0.001683299,0.018641158,0.01196054,0.000179437
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,0.0,0.012373327,0.0,0.005651076,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.033884656,0.010525726,0.001275714,0.003727306,0.001349031,3.95e-05,0.001076619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|Other,0.001672552,0.000111976,0.007016425,0.005651076,0.006254599,0.0,0.017584784
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae],6.19e-05,0.0,0.0,0.03354575,0.0,0.0,0.021352952
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.014743232,0.000111976,0.009408388,0.001082121,0.001349031,0.0,0.002512112
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.005141547,0.000391915,0.00191357,0.000601178,0.001042433,0.0,0.00053831
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.006070743,0.000503891,0.000797321,0.0,0.011344126,0.0,0.000717746
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae,0.0,0.009293992,0.000318928,0.000601178,0.005580083,0.0,0.000358873
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,0.0,5.6e-05,0.012278743,0.001082121,0.002146186,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,6.19e-05,0.0,0.0,0.0,0.000183959,0.010319673,0.0
