,1,2,3,4,5,6,7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.785942979,0.000988631,0.967008929,0.0,0.007049493,0.010135481,0.994992934
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.0,0.340748064,6.7e-05,0.0,0.67117051,0.119168686,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.0,0.394134124,0.0,0.0,0.02180937,0.531652049,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.001270519,0.0,0.01140625,0.998413827,0.001101483,0.000136505,0.004562891
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.0,0.063766683,0.0,0.0,0.001101483,0.084496468,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.0,0.028999835,2.23e-05,0.0,0.036642679,0.056820121,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.194389389,0.006261328,0.0,0.0,0.03634895,0.018291642,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.0,0.0,0.0,0.0,0.001835806,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.0,0.011698797,2.23e-05,0.0,0.195476575,0.01337747,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,5.08e-05,0.052891745,0.0,0.0,0.000514026,0.088762243,0.0
