,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.067555142,0.26412952,0.507324202,0.069013957,0.209317722,0.308401468,0.192098868
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.069959121,0.448018572,0.105903545,0.247583228,0.382051125,0.133808888,0.22874751
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.26338529,0.113259192,0.001104578,0.163343605,0.185986636,0.201540686,0.175569762
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.14555707,0.09046948,0.061431533,0.149462268,0.052988414,0.086475889,0.277437222
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.241195564,0.003375878,0.0,0.053033049,0.084497027,0.089256911,1.09e-05
