,1,2,3,4,5,6,7
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.260651141,0.392537835,0.33302249,0.283365214,0.356039668,0.541626946,0.249477722
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.322182413,0.197842266,0.384585848,0.31997718,0.214947628,0.03447728,0.296387739
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.149855908,0.061385545,0.027482172,0.013725293,0.152425854,0.003972037,0.020549246
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.038476517,0.055991209,0.061382337,0.128057989,0.009661611,7.94e-05,0.151897292
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.0,0.143799011,0.143444871,0.059532199,0.00023225,0.002303781,0.189349337
