,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.105509182,0.0,0.0,0.51528231,0.351177255,0.548794733,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.443656093,0.2739377,0.220421192,0.155314595,0.11676292,0.005203356,2.48e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.359348915,0.23124024,0.105463892,0.040460399,0.242151636,0.126048635,0.252094384
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.009307179,0.060121641,0.306027693,0.008035934,0.000925515,0.000849527,0.102091905
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,8.35e-05,0.176912961,0.000165824,0.0,0.000222124,0.000637146,0.350071878
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.017320534,4.11e-05,0.139540668,0.148471769,0.081075078,0.01369863,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.006886477,0.0,0.185929857,0.116608766,0.040944765,0.012105766,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.00033389,0.229062217,0.014716856,0.000105274,0.000370206,0.001380482,0.167178902
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.015734558,0.0,0.0,0.0,0.058122316,0.030476797,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.0,0.0,0.0,0.0,0.000111062,0.086014654,0.0
