,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.464030318,0.419869174,0.066836605,0.201246374,0.040547305,0.353133402,0.584140733
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.283737024,0.135527392,0.241243946,0.144299989,0.018955448,0.158717684,0.185069429
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.054704235,0.098426002,0.039714504,0.153325454,0.234907392,0.113919338,0.073670581
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.023101005,0.061290542,0.042161611,0.218437735,0.200600701,0.036856256,0.013394651
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.001845444,0.047628782,0.37216416,0.011281831,0.010946104,0.024033092,0.005089967
