,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.0,3.8e-05,0.27573403,2.72e-05,0.382025214,0.794007956,0.615047266
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.999009212,0.687711558,0.005913498,0.695883567,0.005815372,0.000372949,0.001754215
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.0,0.0,0.506222925,0.0,0.275274502,0.045499751,0.169476659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.0,0.150420264,0.0085952,0.264879983,0.030174868,0.001616111,0.010720203
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,2.11e-05,3.8e-05,0.06690504,0.0,0.023017487,0.023868722,0.040249488
