,1,2,3,4,5,6,7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.380510232,0.075770699,0.936667163,0.257247674,0.143979509,0.07699361,0.091158171
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.182006671,0.172809803,0.0,0.498747316,0.281308508,0.316565335,0.050916148
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.126731572,0.3512174,0.0,8.95e-05,0.166297194,0.254411827,0.091805088
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.045524204,0.142527187,3.72e-05,0.082945598,0.13508919,0.191059262,0.025058508
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.028771898,0.087222917,3.72e-05,0.0,0.000126348,2.82e-05,0.544589684
