,Experiments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
109,PC-PJ-BV-BO-BY-BU-DP-BL-CA-EL-FP-CH-BH-CG-CC-DL,16.0,0.1138205199030169,0.0159077433017217,0.0186206917717828,0.0,0.2436720989473038,0.0,0.0,0.1334277383911855,0.0808951907436393,0.0064124236565079,0.0103585305220513,0.0,0.0,0.0358849093085351,0.0016031059141269,0.0007398950372893,0.1252888929810023,0.0,0.0016031059141269,0.0307056440475094,0.0,0.0,0.0258963263051284,0.492400147316085,0.0,0.61747424,42.686058200000005,34.35729933,17.38743592
110,PC-PJ-BV-BO-BY-BU-DP-BL-CA-EL-FP-CH-BH-CG-CC-DL,32.0,0.1739508134695421,0.0137782822550132,0.0080373313154243,0.0,0.2334653382099466,0.0,0.0,0.1184549543868499,0.0639159204607558,0.0066977760961869,0.0210501534451591,0.0,0.0,0.0407607516710808,0.0021050153445159,0.0005740950939588,0.1504129146172279,0.0,0.0013395552192373,0.0310011350737797,0.0,0.0,0.0229638037583554,0.6280600327910203,0.0,1.3321383999999998,59.62972876,44.5750734,21.36786224
111,PC-PJ-BV-BO-BY-BU-DP-BL-CA-EL-FP-CH-BH-CG-CC-DL,48.0,0.2167930569320559,0.0207420713577799,0.014288982490915,0.0,0.5105622453474286,0.0,0.0,0.1877541570311639,0.0563877050985574,0.0021510296222882,0.0374893734170245,0.0,0.0,0.0161327221671622,0.0018437396762471,0.0012291597841647,0.1799182634071137,0.0,0.0010755148111441,0.0537757405572073,0.0,0.0,0.0190519766545534,0.540215725140403,0.0,1.3938088,55.51558076,44.14043577,25.24069653
112,BV-BF-BL-CA-FP-CH-AC-BH-ER-RI-DF,0.0,0.0,0.0,0.0006,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0006,0.0,0.0006,0.0006,0.0006,0.0006,0.0,0.0006,0.0006,0.0,0.0,0.0006,0.0,0.0,28.0,0.0
113,BV-BF-BL-CA-FP-CH-AC-BH-ER-RI-DF,16.0,0.0,0.0,0.0886534216335541,0.4304356918787034,0.0,0.0,0.0,0.0,0.0,0.0,0.018897176716626,0.0,0.0,0.1997034971534797,0.0,0.006532357383525,0.3095870802834902,0.5956110142906936,0.0023329847798303,0.0,0.6000436853723713,0.0086320436853723,0.0,0.0,0.4145713953758568,31.85940104,32.35661536,7.68118245,18.07217348
114,BV-BF-BL-CA-FP-CH-AC-BH-ER-RI-DF,32.0,0.0,0.0,0.0112523051131601,0.2523731289665908,0.0,0.0,0.0,0.0,0.0,0.0,0.0066978006625952,0.0,0.0,0.1315448050133716,0.0,0.0053582405300762,0.7214870873747654,0.6620106174909193,0.0016074721590228,0.0,0.1912891869237217,0.001339560132519,0.0,0.0,0.2494260966750489,34.5199824,39.41342328,1.02817301,24.08999451
115,BV-BF-BL-CA-FP-CH-AC-BH-ER-RI-DF,48.0,0.0,0.0,0.0120096301159991,0.261209455022981,0.0,0.0,0.0,0.0,0.0,0.0,0.0033184504267892,0.0,0.0,0.1731915079886189,0.0,0.002844386080105,0.4517833223900196,0.493026920551543,0.0007901072444736,0.0,0.1360564674983584,0.0007901072444736,0.0,0.0,0.3903129787699715,34.3107644,41.68957704,8.1419459,28.10430182
116,PC-PJ-BO-BT-BC-BL-EL-FP-BH-CG-RI-DL,0.0,0.00055,0.00055,0.0,0.0,0.00055,0.00055,0.00055,0.0,0.0,0.0,0.00055,0.0,0.0,0.0,0.00055,0.00055,0.0,0.0,0.00055,0.00055,0.0,0.00055,0.0,0.00055,0.0,0.0,0.0,28.0,0.0
117,PC-PJ-BO-BT-BC-BL-EL-FP-BH-CG-RI-DL,16.0,0.0290691108301727,0.0243500993317681,0.0,0.0,0.2846507735837698,0.4358479019926555,0.4907771958340858,0.0,0.0,0.0,0.0262377039311299,0.0,0.0,0.0,0.0033976882788513,0.0009438022996809,0.0,0.0,0.002076365059298,0.037374571067365,0.0,0.0052852928782132,0.0,0.7486239841069172,0.0,0.62834832,55.71169032,50.48829771,17.92295688
118,PC-PJ-BO-BT-BC-BL-EL-FP-BH-CG-RI-DL,32.0,0.0377514203340964,0.0304051979988128,0.0,0.0,0.1971236326634443,0.3920025862799965,0.4599551428813703,0.0,0.0,0.0,0.0367311116764182,0.0,0.0,0.0,0.0032649877045705,0.0012243703892139,0.0,0.0,0.0,0.047546383447808,0.0,0.0030609259730348,0.0,0.3946553887899601,0.0,1.54392016,58.67614632,61.19132123,19.09383594
119,PC-PJ-BO-BT-BC-BL-EL-FP-BH-CG-RI-DL,48.0,0.0488128515425259,0.0204988352934492,0.0,0.0,0.1814146923470257,0.4808258053519686,0.4409811942503266,0.0,0.0,0.0,0.0180645986023521,0.0,0.0,0.0,0.002306118970513,0.0002562354411681,0.0,0.0,0.0014092949264246,0.0502221464689506,0.0,0.0005124708823362,0.0,0.2572603829327879,0.0,1.11365816,46.4308706,54.14852064,17.920227399999998
120,PJ-BV-BO-BC-BU-DP-BL-EL-CH-CG-RI,0.0,0.0,0.0006,0.0006,0.0,0.0006,0.0,0.0006,0.0,0.0006,0.0006,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0006,0.0,0.0,0.0006,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,28.0,0.0
121,PJ-BV-BO-BC-BU-DP-BL-EL-CH-CG-RI,16.0,0.0,0.0251471266460343,0.0504331876934279,0.0,0.3627577219491473,0.0,0.7053699557011953,0.0,0.13407169731173,0.0238967170338005,0.0494606468839128,0.0,0.0,0.0,0.0030565568299047,0.0,0.1100360458765701,0.0,0.0,0.0523782693124582,0.0,0.0072245888706839,0.0,0.0,0.0,1.55103328,50.4900162,38.12629946,22.69451016
122,PJ-BV-BO-BC-BU-DP-BL-EL-CH-CG-RI,32.0,0.0,0.0282471264367816,0.0166159567275185,0.0,0.2799788708586883,0.0,0.7294405003380662,0.0,0.0891030679513184,0.0120465686274509,0.058986646382691,0.0,0.0,0.0,0.0047770875591615,0.0,0.3593200642325895,0.0,0.0,0.0513017663962136,0.0,0.0058155848546315,0.0,0.0,0.0,1.26793928,50.3943924,41.83427751,24.45972218
123,PJ-BV-BO-BC-BU-DP-BL-EL-CH-CG-RI,48.0,0.0,0.0221593951563831,0.021395278082025,0.0,0.3030488316903979,0.0,0.7138381708652792,0.0,0.0580728976512108,0.0114617561153705,0.0392756176220031,0.0,0.0,0.0,0.0062657600097359,0.0,0.4427294328830473,0.0,0.0,0.0496676098332724,0.0,0.0053488195205062,0.0,0.0,0.0,1.4403536,48.3770336,43.95759584,26.80896375
124,PC-PJ-BF-BT-BC-BY-DP-BL-BA-FP-AC-BH-RI-CC-DL-DF,0.0,0.0004125,0.0004125,0.0,0.0004125,0.0,0.0004125,0.0004125,0.0004125,0.0,0.0004125,0.0004125,0.0004125,0.0,0.0,0.0,0.0004125,0.0,0.0004125,0.0004125,0.0,0.0,0.0004125,0.0004125,0.0004125,0.0004125,0.0,0.0,28.0,0.0
125,PC-PJ-BF-BT-BC-BY-DP-BL-BA-FP-AC-BH-RI-CC-DL-DF,16.0,0.0253876204202381,0.0147118005512149,0.0,0.1616996131381324,0.0,0.1784945004930592,0.3476151103694151,0.0856669448026498,0.0,0.0096342764671673,0.0102852410933272,0.2432003843333585,0.0,0.0,0.0,0.0023434726541758,0.0,0.0121079420465751,0.0006509646261599,0.0,0.0,0.0024736655794078,0.0118475561961111,0.3679252067056057,0.2312226352120154,14.65557864,41.53750092,35.6978967,9.82404307
